Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DeepResearchStatusEvent.AdditionalInfo,AdditionalInfo,DeepResearchStatusEvent,,AdditionalInfo,追加情報,追加情報,ロングテキストエリア(131072),false,true,false,false,false,false
000000000000000AAA,DeepResearchStatusEvent.AppName,AppName,DeepResearchStatusEvent,,AppName,アプリケーション名,アプリケーション名,テキスト(255),false,true,false,false,false,false
000000000000000AAA,DeepResearchStatusEvent.CompletedAt,CompletedAt,DeepResearchStatusEvent,,CompletedAt,完了日時,完了日時,日付/時間,false,true,false,false,false,false
000000000000000AAA,DeepResearchStatusEvent.CreatedBy,CreatedById,DeepResearchStatusEvent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,false,false,false
000000000000000AAA,DeepResearchStatusEvent.CreatedDate,CreatedDate,DeepResearchStatusEvent,,CreatedDate,作成日,作成日,日付/時間,false,false,false,false,false,false
000000000000000AAA,DeepResearchStatusEvent.ErrorCode,ErrorCode,DeepResearchStatusEvent,,ErrorCode,エラーコード,エラーコード,テキスト(255),false,true,false,false,false,false
000000000000000AAA,DeepResearchStatusEvent.ErrorMessage,ErrorMessage,DeepResearchStatusEvent,,ErrorMessage,エラーメッセージ,エラーメッセージ,テキスト(4000),false,true,false,false,false,false
000000000000000AAA,DeepResearchStatusEvent.EventCreationDate,EventCreationDate,DeepResearchStatusEvent,,EventCreationDate,イベント作成日,イベント作成日,日付/時間,false,true,false,false,false,false
000000000000000AAA,DeepResearchStatusEvent.EventPublishDate,EventPublishDate,DeepResearchStatusEvent,,EventPublishDate,イベント公開日,イベント公開日,日付/時間,false,true,false,false,false,false
000000000000000AAA,DeepResearchStatusEvent.EventType,EventType,DeepResearchStatusEvent,,EventType,CDP イベントの種別,CDP イベントの種別,テキスト(4000),false,true,false,false,false,false
000000000000000AAA,DeepResearchStatusEvent.EventUuid,EventUuid,DeepResearchStatusEvent,,EventUuid,イベント UUID,イベント UUID,テキスト(36),false,true,false,false,false,false
000000000000000AAA,DeepResearchStatusEvent.JobIdentifier,JobIdentifier,DeepResearchStatusEvent,,JobIdentifier,ジョブ識別子,ジョブ識別子,テキスト(255),false,true,false,false,false,false
000000000000000AAA,DeepResearchStatusEvent.ReplayId,ReplayId,DeepResearchStatusEvent,,ReplayId,再実行 ID,再実行 ID,外部参照,false,true,false,false,false,false
000000000000000AAA,DeepResearchStatusEvent.ReportFilePath,ReportFilePath,DeepResearchStatusEvent,,ReportFilePath,レポートファイルパス,レポートファイルパス,テキスト(4000),false,true,false,false,false,false
000000000000000AAA,DeepResearchStatusEvent.ResearchIdentifier,ResearchIdentifier,DeepResearchStatusEvent,,ResearchIdentifier,調査識別子,調査識別子,テキスト(255),false,true,false,false,false,false
000000000000000AAA,DeepResearchStatusEvent.SchemaVersion,SchemaVersion,DeepResearchStatusEvent,,SchemaVersion,イベントのスキーマバージョン,イベントのスキーマバージョン,テキスト(4000),false,true,false,false,false,false
000000000000000AAA,DeepResearchStatusEvent.Status,Status,DeepResearchStatusEvent,,Status,状況,状況,テキスト(50),false,true,false,false,false,false
