Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DevHubSettings.ExternalId,DurableId,DevHubSettings,,ExternalId,設定テンプレート外部 ID,設定テンプレート外部 ID,外部参照,false,true,false,true,true,true
000000000000000AAA,DevHubSettings.FullName,FullName,DevHubSettings,,FullName,氏名,氏名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,DevHubSettings.Id,Id,DevHubSettings,,Id,設定テンプレート ID,設定テンプレート ID,参照関係(),false,false,false,true,true,true
000000000000000AAA,DevHubSettings.IsAlmDevopsCorePrefEnabled,IsAlmDevopsCorePrefEnabled,DevHubSettings,,IsAlmDevopsCorePrefEnabled,__MISSING LABEL__ PropertyFile - val IsAlmDevopsCorePrefEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsAlmDevopsCorePrefEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DevHubSettings.IsAlmSimpleDeployDataPrefEnabled,IsAlmSimpleDeployDataPrefEnabled,DevHubSettings,,IsAlmSimpleDeployDataPrefEnabled,__MISSING LABEL__ PropertyFile - val IsAlmSimpleDeployDataPrefEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsAlmSimpleDeployDataPrefEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DevHubSettings.IsAlmSimpleDeployPrefEnabled,IsAlmSimpleDeployPrefEnabled,DevHubSettings,,IsAlmSimpleDeployPrefEnabled,__MISSING LABEL__ PropertyFile - val IsAlmSimpleDeployPrefEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsAlmSimpleDeployPrefEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DevHubSettings.IsDevOpsCenterEnabled,IsDevOpsCenterEnabled,DevHubSettings,,IsDevOpsCenterEnabled,__MISSING LABEL__ PropertyFile - val IsDevOpsCenterEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsDevOpsCenterEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DevHubSettings.IsDevOpsCenterGaEnabled,IsDevOpsCenterGaEnabled,DevHubSettings,,IsDevOpsCenterGaEnabled,__MISSING LABEL__ PropertyFile - val IsDevOpsCenterGaEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsDevOpsCenterGaEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DevHubSettings.IsDevopsTestingPrefEnabled,IsDevopsTestingPrefEnabled,DevHubSettings,,IsDevopsTestingPrefEnabled,__MISSING LABEL__ PropertyFile - val IsDevopsTestingPrefEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsDevopsTestingPrefEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DevHubSettings.IsPackaging2Enabled,IsPackaging2Enabled,DevHubSettings,,IsPackaging2Enabled,__MISSING LABEL__ PropertyFile - val IsPackaging2Enabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsPackaging2Enabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DevHubSettings.IsScratchOrgManagementPrefEnabled,IsScratchOrgManagementPrefEnabled,DevHubSettings,,IsScratchOrgManagementPrefEnabled,__MISSING LABEL__ PropertyFile - val IsScratchOrgManagementPrefEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsScratchOrgManagementPrefEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DevHubSettings.IsScratchOrgSnapshotPrefEnabled,IsScratchOrgSnapshotPrefEnabled,DevHubSettings,,IsScratchOrgSnapshotPrefEnabled,__MISSING LABEL__ PropertyFile - val IsScratchOrgSnapshotPrefEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsScratchOrgSnapshotPrefEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DevHubSettings.IsShapeExportPrefEnabled,IsShapeExportPrefEnabled,DevHubSettings,,IsShapeExportPrefEnabled,__MISSING LABEL__ PropertyFile - val IsShapeExportPrefEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsShapeExportPrefEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DevHubSettings.Metadata,Metadata,DevHubSettings,,Metadata,メタデータ,メタデータ,複合値,false,true,false,false,false,false
