Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DevopsRequestInfo.CreatedBy,CreatedById,DevopsRequestInfo,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,DevopsRequestInfo.CreatedDate,CreatedDate,DevopsRequestInfo,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,DevopsRequestInfo.ErrorDetails,ErrorDetails,DevopsRequestInfo,,ErrorDetails,エラーの詳細,エラーの詳細,ロングテキストエリア(32768),false,true,false,false,false,false
000000000000000AAA,DevopsRequestInfo.Id,Id,DevopsRequestInfo,,Id,DevOps 要求情報 ID,DevOps 要求情報 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,DevopsRequestInfo.IsDeleted,IsDeleted,DevopsRequestInfo,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DevopsRequestInfo.LastModifiedBy,LastModifiedById,DevopsRequestInfo,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DevopsRequestInfo.LastModifiedDate,LastModifiedDate,DevopsRequestInfo,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DevopsRequestInfo.LastReferencedDate,LastReferencedDate,DevopsRequestInfo,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,DevopsRequestInfo.LastViewedDate,LastViewedDate,DevopsRequestInfo,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,DevopsRequestInfo.Message,Message,DevopsRequestInfo,,Message,メッセージ,メッセージ,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DevopsRequestInfo.Name,Name,DevopsRequestInfo,,Name,名前,名前,自動採番,false,false,true,true,false,true
000000000000000AAA,DevopsRequestInfo.OperationType,OperationType,DevopsRequestInfo,,OperationType,操作種別,操作種別,選択リスト,false,false,false,true,true,true
000000000000000AAA,DevopsRequestInfo.Owner,OwnerId,DevopsRequestInfo,,Owner,所有者 氏名,所有者 氏名,"参照関係(ユーザー,グループ)",false,false,true,true,true,true
000000000000000AAA,DevopsRequestInfo.ParentRequestInfo,ParentRequestInfoId,DevopsRequestInfo,,ParentRequestInfo,親要求情報,親要求情報,参照関係(要求情報),false,true,false,true,true,true
000000000000000AAA,DevopsRequestInfo.RecordVisibility,RecordVisibilityId,DevopsRequestInfo,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,DevopsRequestInfo.RequestCompletionDate,RequestCompletionDate,DevopsRequestInfo,,RequestCompletionDate,要求完了日,要求完了日,日付/時間,false,true,false,true,false,true
000000000000000AAA,DevopsRequestInfo.RequestToken,RequestToken,DevopsRequestInfo,,RequestToken,要求 ID,要求 ID,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DevopsRequestInfo.Status,Status,DevopsRequestInfo,,Status,状況,状況,選択リスト,false,false,false,true,true,true
000000000000000AAA,DevopsRequestInfo.SystemModstamp,SystemModstamp,DevopsRequestInfo,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,DevopsRequestInfo.UserRecordAccess,UserRecordAccessId,DevopsRequestInfo,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
