Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DevopsRequestInfoChangeEvent.ChangeEventHeader,ChangeEventHeader,DevopsRequestInfoChangeEvent,,ChangeEventHeader,変更イベントヘッダー,変更イベントヘッダー,複合値,false,false,false,false,false,false
000000000000000AAA,DevopsRequestInfoChangeEvent.CreatedBy,CreatedById,DevopsRequestInfoChangeEvent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,DevopsRequestInfoChangeEvent.CreatedDate,CreatedDate,DevopsRequestInfoChangeEvent,,CreatedDate,作成日,作成日,日付/時間,false,true,false,false,false,false
000000000000000AAA,DevopsRequestInfoChangeEvent.ErrorDetails,ErrorDetails,DevopsRequestInfoChangeEvent,,ErrorDetails,エラーの詳細,エラーの詳細,ロングテキストエリア(32768),false,true,false,false,false,false
000000000000000AAA,DevopsRequestInfoChangeEvent.LastModifiedBy,LastModifiedById,DevopsRequestInfoChangeEvent,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,DevopsRequestInfoChangeEvent.LastModifiedDate,LastModifiedDate,DevopsRequestInfoChangeEvent,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,true,false,false,false,false
000000000000000AAA,DevopsRequestInfoChangeEvent.Message,Message,DevopsRequestInfoChangeEvent,,Message,メッセージ,メッセージ,テキスト(255),false,true,false,false,false,false
000000000000000AAA,DevopsRequestInfoChangeEvent.Name,Name,DevopsRequestInfoChangeEvent,,Name,名前,名前,自動採番,false,false,false,false,false,false
000000000000000AAA,DevopsRequestInfoChangeEvent.OperationType,OperationType,DevopsRequestInfoChangeEvent,,OperationType,操作種別,操作種別,選択リスト,false,true,false,false,false,false
000000000000000AAA,DevopsRequestInfoChangeEvent.Owner,OwnerId,DevopsRequestInfoChangeEvent,,Owner,所有者 氏名,所有者 氏名,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,DevopsRequestInfoChangeEvent.ParentRequestInfo,ParentRequestInfoId,DevopsRequestInfoChangeEvent,,ParentRequestInfo,親要求情報,親要求情報,参照関係(要求情報),false,true,false,false,false,false
000000000000000AAA,DevopsRequestInfoChangeEvent.RequestCompletionDate,RequestCompletionDate,DevopsRequestInfoChangeEvent,,RequestCompletionDate,要求完了日,要求完了日,日付/時間,false,true,false,false,false,false
000000000000000AAA,DevopsRequestInfoChangeEvent.RequestToken,RequestToken,DevopsRequestInfoChangeEvent,,RequestToken,要求 ID,要求 ID,テキスト(255),false,true,false,false,false,false
000000000000000AAA,DevopsRequestInfoChangeEvent.Status,Status,DevopsRequestInfoChangeEvent,,Status,状況,状況,選択リスト,false,true,false,false,false,false
