Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DynUiCardEventActionDef.ActionName,ActionName,DynUiCardEventActionDef,,ActionName,アクション名,アクション名,テキスト(255),false,false,false,true,true,true
000000000000000AAA,DynUiCardEventActionDef.ActionType,ActionType,DynUiCardEventActionDef,,ActionType,アクション種別,アクション種別,選択リスト,false,false,false,true,true,true
000000000000000AAA,DynUiCardEventActionDef.CreatedBy,CreatedById,DynUiCardEventActionDef,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DynUiCardEventActionDef.CreatedDate,CreatedDate,DynUiCardEventActionDef,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DynUiCardEventActionDef.DynamicUiCardEventDef,DynamicUiCardEventDefId,DynUiCardEventActionDef,,DynamicUiCardEventDef,動的 UI Card イベント定義,動的 UI Card イベント定義,主従関係(動的 UI Card イベント定義),false,false,true,true,true,true
000000000000000AAA,DynUiCardEventActionDef.FilterCondConfiguration,FilterCondConfiguration,DynUiCardEventActionDef,,FilterCondConfiguration,検索条件設定,検索条件設定,ロングテキストエリア(131072),false,true,false,false,false,false
000000000000000AAA,DynUiCardEventActionDef.IconName,IconName,DynUiCardEventActionDef,,IconName,アイコン名,アイコン名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DynUiCardEventActionDef.Id,Id,DynUiCardEventActionDef,,Id,動的 UI Card イベントアクション定義 ID,動的 UI Card イベントアクション定義 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,DynUiCardEventActionDef.IsDeleted,IsDeleted,DynUiCardEventActionDef,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DynUiCardEventActionDef.Label,Label,DynUiCardEventActionDef,,Label,表示ラベル,表示ラベル,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DynUiCardEventActionDef.LastModifiedBy,LastModifiedById,DynUiCardEventActionDef,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DynUiCardEventActionDef.LastModifiedDate,LastModifiedDate,DynUiCardEventActionDef,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DynUiCardEventActionDef.ManageableState,ManageableState,DynUiCardEventActionDef,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,DynUiCardEventActionDef.OpenIn,OpenIn,DynUiCardEventActionDef,,OpenIn,開く方法,開く方法,選択リスト,false,true,false,true,true,true
000000000000000AAA,DynUiCardEventActionDef.Order,Order,DynUiCardEventActionDef,,Order,順序,順序,数値(9、0),false,true,false,true,true,true
000000000000000AAA,DynUiCardEventActionDef.PropertyConfiguration,PropertyConfiguration,DynUiCardEventActionDef,,PropertyConfiguration,プロパティ設定,プロパティ設定,ロングテキストエリア(131072),false,true,false,false,false,false
000000000000000AAA,DynUiCardEventActionDef.SystemModstamp,SystemModstamp,DynUiCardEventActionDef,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,DynUiCardEventActionDef.TargetReference,TargetReferenceId,DynUiCardEventActionDef,,TargetReference,対象参照,対象参照,"参照関係(動的 UI Card バージョン,Lightning Web コンポーネントバンドル)",false,true,false,true,true,true
