Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,EmailToCaseSettings.ExternalId,DurableId,EmailToCaseSettings,,ExternalId,設定テンプレート外部 ID,設定テンプレート外部 ID,外部参照,false,true,false,true,true,true
000000000000000AAA,EmailToCaseSettings.Id,Id,EmailToCaseSettings,,Id,設定テンプレート ID,設定テンプレート ID,参照関係(),false,false,false,true,true,true
000000000000000AAA,EmailToCaseSettings.IsE2CattachmentAsFileEnabled,IsE2CattachmentAsFileEnabled,EmailToCaseSettings,,IsE2CattachmentAsFileEnabled,__MISSING LABEL__ PropertyFile - val IsE2CattachmentAsFileEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsE2CattachmentAsFileEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailToCaseSettings.IsE2CdeduplicateAttachmentsEnabled,IsE2CdeduplicateAttachmentsEnabled,EmailToCaseSettings,,IsE2CdeduplicateAttachmentsEnabled,__MISSING LABEL__ PropertyFile - val IsE2CdeduplicateAttachmentsEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsE2CdeduplicateAttachmentsEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailToCaseSettings.IsE2CexternalServerEnabled,IsE2CexternalServerEnabled,EmailToCaseSettings,,IsE2CexternalServerEnabled,__MISSING LABEL__ PropertyFile - val IsE2CexternalServerEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsE2CexternalServerEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailToCaseSettings.IsE2CsourceTrackingEnabled,IsE2CsourceTrackingEnabled,EmailToCaseSettings,,IsE2CsourceTrackingEnabled,__MISSING LABEL__ PropertyFile - val IsE2CsourceTrackingEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsE2CsourceTrackingEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailToCaseSettings.IsEmailToCaseEnabled,IsEmailToCaseEnabled,EmailToCaseSettings,,IsEmailToCaseEnabled,__MISSING LABEL__ PropertyFile - val IsEmailToCaseEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsEmailToCaseEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailToCaseSettings.IsHtmlEmailEnabled,IsHtmlEmailEnabled,EmailToCaseSettings,,IsHtmlEmailEnabled,__MISSING LABEL__ PropertyFile - val IsHtmlEmailEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsHtmlEmailEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailToCaseSettings.IsNewToReadTriggersEnabled,IsNewToReadTriggersEnabled,EmailToCaseSettings,,IsNewToReadTriggersEnabled,__MISSING LABEL__ PropertyFile - val IsNewToReadTriggersEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsNewToReadTriggersEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmailToCaseSettings.IsOnDemandEmailToCaseEnabled,IsOnDemandEmailToCaseEnabled,EmailToCaseSettings,,IsOnDemandEmailToCaseEnabled,__MISSING LABEL__ PropertyFile - val IsOnDemandEmailToCaseEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsOnDemandEmailToCaseEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
