Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,EmbeddedServiceCustomComponent.CreatedBy,CreatedById,EmbeddedServiceCustomComponent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,EmbeddedServiceCustomComponent.CreatedDate,CreatedDate,EmbeddedServiceCustomComponent,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,EmbeddedServiceCustomComponent.CustomComponent,CustomComponentId,EmbeddedServiceCustomComponent,,CustomComponent,カスタムコンポーネント,カスタムコンポーネント,"参照関係(Aura コンポーネントバンドル,Lightning Web コンポーネントバンドル)",false,false,false,true,true,true
000000000000000AAA,EmbeddedServiceCustomComponent.CustomComponentType,CustomComponentType,EmbeddedServiceCustomComponent,,CustomComponentType,カスタムコンポーネントの種類,カスタムコンポーネントの種類,選択リスト,false,false,false,true,true,true
000000000000000AAA,EmbeddedServiceCustomComponent.EmbeddedServiceConfig,EmbeddedServiceConfigId,EmbeddedServiceCustomComponent,,EmbeddedServiceConfig,組み込みサービスリリース,組み込みサービスリリース,主従関係(組み込みサービスリリース),false,false,true,true,true,true
000000000000000AAA,EmbeddedServiceCustomComponent.Feature,Feature,EmbeddedServiceCustomComponent,,Feature,機能,機能,選択リスト,false,true,false,true,true,true
000000000000000AAA,EmbeddedServiceCustomComponent.Id,Id,EmbeddedServiceCustomComponent,,Id,組み込みサービス用のカスタムコンポーネント ID,組み込みサービス用のカスタムコンポーネント ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,EmbeddedServiceCustomComponent.IsDeleted,IsDeleted,EmbeddedServiceCustomComponent,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmbeddedServiceCustomComponent.LastModifiedBy,LastModifiedById,EmbeddedServiceCustomComponent,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,EmbeddedServiceCustomComponent.LastModifiedDate,LastModifiedDate,EmbeddedServiceCustomComponent,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,EmbeddedServiceCustomComponent.SystemModstamp,SystemModstamp,EmbeddedServiceCustomComponent,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
