Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,EmbeddedServiceFlow.CreatedBy,CreatedById,EmbeddedServiceFlow,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,EmbeddedServiceFlow.CreatedDate,CreatedDate,EmbeddedServiceFlow,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,EmbeddedServiceFlow.EmbeddedServiceConfig,EmbeddedServiceConfigId,EmbeddedServiceFlow,,EmbeddedServiceConfig,組み込みサービスリリース,組み込みサービスリリース,主従関係(組み込みサービスリリース),false,false,true,true,true,true
000000000000000AAA,EmbeddedServiceFlow.Feature,Feature,EmbeddedServiceFlow,,Feature,機能,機能,選択リスト,false,true,false,true,true,true
000000000000000AAA,EmbeddedServiceFlow.Flow,Flow,EmbeddedServiceFlow,,Flow,フロー,フロー,選択リスト(フロー定義),false,false,false,true,true,true
000000000000000AAA,EmbeddedServiceFlow.FlowType,FlowType,EmbeddedServiceFlow,,FlowType,フロー種別,フロー種別,選択リスト,false,false,false,true,true,true
000000000000000AAA,EmbeddedServiceFlow.Id,Id,EmbeddedServiceFlow,,Id,組み込みサービスフロー ID,組み込みサービスフロー ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,EmbeddedServiceFlow.IsAuthenticationRequired,IsAuthenticationRequired,EmbeddedServiceFlow,,IsAuthenticationRequired,認証が必要,認証が必要,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmbeddedServiceFlow.IsDeleted,IsDeleted,EmbeddedServiceFlow,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmbeddedServiceFlow.LastModifiedBy,LastModifiedById,EmbeddedServiceFlow,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,EmbeddedServiceFlow.LastModifiedDate,LastModifiedDate,EmbeddedServiceFlow,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,EmbeddedServiceFlow.SystemModstamp,SystemModstamp,EmbeddedServiceFlow,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
