Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,EmbeddedServiceMenuSettings.Branding,BrandingId,EmbeddedServiceMenuSettings,,Branding,ブランド,ブランド,参照関係(ブランドセット),false,true,false,true,true,true
000000000000000AAA,EmbeddedServiceMenuSettings.CreatedBy,CreatedById,EmbeddedServiceMenuSettings,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,EmbeddedServiceMenuSettings.CreatedDate,CreatedDate,EmbeddedServiceMenuSettings,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,EmbeddedServiceMenuSettings.DeveloperName,DeveloperName,EmbeddedServiceMenuSettings,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,EmbeddedServiceMenuSettings.FullName,FullName,EmbeddedServiceMenuSettings,,FullName,氏名,氏名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,EmbeddedServiceMenuSettings.Id,Id,EmbeddedServiceMenuSettings,,Id,チャネルメニューリリース ID,チャネルメニューリリース ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,EmbeddedServiceMenuSettings.IsDeleted,IsDeleted,EmbeddedServiceMenuSettings,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmbeddedServiceMenuSettings.IsEnabled,IsEnabled,EmbeddedServiceMenuSettings,,IsEnabled,有効,有効,チェックボックス,false,false,false,true,true,true
000000000000000AAA,EmbeddedServiceMenuSettings.Language,Language,EmbeddedServiceMenuSettings,,Language,マスター言語,マスター言語,選択リスト,false,true,false,true,true,true
000000000000000AAA,EmbeddedServiceMenuSettings.LastModifiedBy,LastModifiedById,EmbeddedServiceMenuSettings,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,EmbeddedServiceMenuSettings.LastModifiedDate,LastModifiedDate,EmbeddedServiceMenuSettings,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,EmbeddedServiceMenuSettings.ManageableState,ManageableState,EmbeddedServiceMenuSettings,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,EmbeddedServiceMenuSettings.MasterLabel,MasterLabel,EmbeddedServiceMenuSettings,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,EmbeddedServiceMenuSettings.Metadata,Metadata,EmbeddedServiceMenuSettings,,Metadata,メタデータ,メタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,EmbeddedServiceMenuSettings.NamespacePrefix,NamespacePrefix,EmbeddedServiceMenuSettings,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,EmbeddedServiceMenuSettings.Site,SiteId,EmbeddedServiceMenuSettings,,Site,組み込みサービスリリース,組み込みサービスリリース,参照関係(サイト),false,false,true,true,true,true
000000000000000AAA,EmbeddedServiceMenuSettings.SystemModstamp,SystemModstamp,EmbeddedServiceMenuSettings,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
