Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ExtDataShareHistory.CreatedBy,CreatedById,ExtDataShareHistory,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,ExtDataShareHistory.CreatedDate,CreatedDate,ExtDataShareHistory,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,ExtDataShareHistory.DataType,DataType,ExtDataShareHistory,,DataType,データ型,データ型,選択リスト,false,true,false,true,true,true
000000000000000AAA,ExtDataShareHistory.ExtDataShare,ExtDataShareId,ExtDataShareHistory,,ExtDataShare,データ共有,データ共有,参照関係(データ共有),false,false,true,true,true,true
000000000000000AAA,ExtDataShareHistory.Field,Field,ExtDataShareHistory,,Field,変更された項目,変更された項目,"選択リスト(Custom Field Definitions,カスタム項目データ列)",false,false,true,true,true,true
000000000000000AAA,ExtDataShareHistory.Id,Id,ExtDataShareHistory,,Id,データ共有履歴 ID,データ共有履歴 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ExtDataShareHistory.IsDeleted,IsDeleted,ExtDataShareHistory,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ExtDataShareHistory.NewvalDate,NewvalDate,ExtDataShareHistory,,NewvalDate,新規の日付,新規の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,ExtDataShareHistory.NewvalFirstName,NewvalFirstName,ExtDataShareHistory,,NewvalFirstName,新規の名,新規の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ExtDataShareHistory.NewvalLastName,NewvalLastName,ExtDataShareHistory,,NewvalLastName,新規の姓,新規の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ExtDataShareHistory.NewValue,NewValue,ExtDataShareHistory,,NewValue,新しい値,新しい値,参照関係,false,true,false,false,false,true
000000000000000AAA,ExtDataShareHistory.OldvalDate,OldvalDate,ExtDataShareHistory,,OldvalDate,元の日付,元の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,ExtDataShareHistory.OldvalFirstName,OldvalFirstName,ExtDataShareHistory,,OldvalFirstName,元の名,元の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ExtDataShareHistory.OldvalLastName,OldvalLastName,ExtDataShareHistory,,OldvalLastName,元の姓,元の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ExtDataShareHistory.OldValue,OldValue,ExtDataShareHistory,,OldValue,元の値,元の値,参照関係,false,true,false,false,false,true
