Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ExternalServiceOperation.CreatedBy,CreatedById,ExternalServiceOperation,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ExternalServiceOperation.CreatedDate,CreatedDate,ExternalServiceOperation,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ExternalServiceOperation.Description,Description,ExternalServiceOperation,,Description,説明,説明,テキスト(1333),false,true,false,true,false,true
000000000000000AAA,ExternalServiceOperation.DeveloperName,DeveloperName,ExternalServiceOperation,,DeveloperName,オブジェクト名,オブジェクト名,テキスト(80),false,false,false,true,true,true
000000000000000AAA,ExternalServiceOperation.Id,Id,ExternalServiceOperation,,Id,外部サービス操作 ID,外部サービス操作 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ExternalServiceOperation.IsActive,IsActive,ExternalServiceOperation,,IsActive,有効,有効,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ExternalServiceOperation.IsDeleted,IsDeleted,ExternalServiceOperation,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ExternalServiceOperation.IsDeprecated,IsDeprecated,ExternalServiceOperation,,IsDeprecated,非推奨,非推奨,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ExternalServiceOperation.Kind,Kind,ExternalServiceOperation,,Kind,種類,種類,選択リスト,false,true,false,true,true,true
000000000000000AAA,ExternalServiceOperation.Language,Language,ExternalServiceOperation,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,ExternalServiceOperation.LastModifiedBy,LastModifiedById,ExternalServiceOperation,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ExternalServiceOperation.LastModifiedDate,LastModifiedDate,ExternalServiceOperation,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ExternalServiceOperation.ManageableState,ManageableState,ExternalServiceOperation,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,ExternalServiceOperation.MasterLabel,MasterLabel,ExternalServiceOperation,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,ExternalServiceOperation.NamespacePrefix,NamespacePrefix,ExternalServiceOperation,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,ExternalServiceOperation.OperationBinding,OperationBinding,ExternalServiceOperation,,OperationBinding,操作バインド,操作バインド,ロングテキストエリア(131072),false,true,false,false,false,false
000000000000000AAA,ExternalServiceOperation.OperationName,OperationName,ExternalServiceOperation,,OperationName,操作名,操作名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ExternalServiceOperation.Parent,ParentId,ExternalServiceOperation,,Parent,親コンテキスト,親コンテキスト,"参照関係(外部サービス登録,External Service Parameters,External Service Properties,External Service List Types,External Service Map Types)",false,true,false,true,true,true
000000000000000AAA,ExternalServiceOperation.Position,Position,ExternalServiceOperation,,Position,位置,位置,数値(9、0),false,true,false,true,true,true
000000000000000AAA,ExternalServiceOperation.SobjectType,ServiceId,ExternalServiceOperation,,SobjectType,外部サービス登録,外部サービス登録,参照関係(外部サービス登録),false,false,true,true,true,true
000000000000000AAA,ExternalServiceOperation.SystemModstamp,SystemModstamp,ExternalServiceOperation,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ExternalServiceOperation.Version,VersionId,ExternalServiceOperation,,Version,バージョン,バージョン,参照関係(カタログ式 API アイテムバージョン情報),false,true,false,true,true,true
