Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ExtlClntAppSampleSettings.CreatedBy,CreatedById,ExtlClntAppSampleSettings,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ExtlClntAppSampleSettings.CreatedDate,CreatedDate,ExtlClntAppSampleSettings,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ExtlClntAppSampleSettings.DeveloperName,DeveloperName,ExtlClntAppSampleSettings,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,ExtlClntAppSampleSettings.DevicePlatform,DevicePlatform,ExtlClntAppSampleSettings,,DevicePlatform,Device Platform,Device Platform,選択リスト,false,false,false,true,true,true
000000000000000AAA,ExtlClntAppSampleSettings.DeviceType,DeviceType,ExtlClntAppSampleSettings,,DeviceType,Device Type,Device Type,選択リスト,false,false,false,true,true,true
000000000000000AAA,ExtlClntAppSampleSettings.DevManagedPolicyFields,DevManagedPolicyFields,ExtlClntAppSampleSettings,,DevManagedPolicyFields,Developer Managed Policy Fields,Developer Managed Policy Fields,ビットベクター,false,false,false,true,false,false
000000000000000AAA,ExtlClntAppSampleSettings.ExternalClientApplication,ExternalClientApplicationId,ExtlClntAppSampleSettings,,ExternalClientApplication,External Client Application,External Client Application,参照関係(外部クライアントアプリケーション),false,false,false,true,true,true
000000000000000AAA,ExtlClntAppSampleSettings.Id,Id,ExtlClntAppSampleSettings,,Id,External Client App Sample Settings ID,External Client App Sample Settings ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ExtlClntAppSampleSettings.IsDeleted,IsDeleted,ExtlClntAppSampleSettings,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ExtlClntAppSampleSettings.Language,Language,ExtlClntAppSampleSettings,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,ExtlClntAppSampleSettings.LastModifiedBy,LastModifiedById,ExtlClntAppSampleSettings,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ExtlClntAppSampleSettings.LastModifiedDate,LastModifiedDate,ExtlClntAppSampleSettings,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ExtlClntAppSampleSettings.ManageableState,ManageableState,ExtlClntAppSampleSettings,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,ExtlClntAppSampleSettings.MasterLabel,MasterLabel,ExtlClntAppSampleSettings,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,ExtlClntAppSampleSettings.MinimumOsVersion,MinimumOsVersion,ExtlClntAppSampleSettings,,MinimumOsVersion,Minimum OS Version,Minimum OS Version,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ExtlClntAppSampleSettings.NamespacePrefix,NamespacePrefix,ExtlClntAppSampleSettings,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,ExtlClntAppSampleSettings.Policy1,Policy1,ExtlClntAppSampleSettings,,Policy1,Developer Managed Policy One,Developer Managed Policy One,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ExtlClntAppSampleSettings.Policy2,Policy2,ExtlClntAppSampleSettings,,Policy2,Developer Managed Policy Two,Developer Managed Policy Two,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ExtlClntAppSampleSettings.SystemModstamp,SystemModstamp,ExtlClntAppSampleSettings,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ExtlClntAppSampleSettings.Version,Version,ExtlClntAppSampleSettings,,Version,Version,Version,テキスト(255),false,true,false,true,true,true
