Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,FeedPostTemplate.CreatedBy,CreatedById,FeedPostTemplate,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,FeedPostTemplate.CreatedDate,CreatedDate,FeedPostTemplate,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,FeedPostTemplate.Description,Description,FeedPostTemplate,,Description,説明,説明,テキスト(1000),false,true,false,true,false,true
000000000000000AAA,FeedPostTemplate.DeveloperName,DeveloperName,FeedPostTemplate,,DeveloperName,一意の名前,一意の名前,テキスト(80),false,false,false,true,true,true
000000000000000AAA,FeedPostTemplate.EntityDefinition,EntityDefinitionId,FeedPostTemplate,,EntityDefinition,エンティティ定義,エンティティ定義,外部参照(エンティティ定義),false,false,false,true,true,true
000000000000000AAA,FeedPostTemplate.FeedPostBody,FeedPostBody,FeedPostTemplate,,FeedPostBody,フィード投稿の内容,フィード投稿の内容,テキスト(1000),false,false,false,true,false,true
000000000000000AAA,FeedPostTemplate.Id,Id,FeedPostTemplate,,Id,承認の投稿テンプレート ID,承認の投稿テンプレート ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,FeedPostTemplate.IsDefault,IsDefault,FeedPostTemplate,,IsDefault,デフォルトのテンプレート,デフォルトのテンプレート,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FeedPostTemplate.LanguageLocaleKey,LanguageLocaleKey,FeedPostTemplate,,LanguageLocaleKey,言語ロケール,言語ロケール,選択リスト,false,true,false,true,true,true
000000000000000AAA,FeedPostTemplate.LastModifiedBy,LastModifiedById,FeedPostTemplate,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,FeedPostTemplate.LastModifiedDate,LastModifiedDate,FeedPostTemplate,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,FeedPostTemplate.MasterTemplate,MasterTemplateId,FeedPostTemplate,,MasterTemplate,マスターテンプレート,マスターテンプレート,参照関係(承認の投稿テンプレート),false,true,false,true,true,true
000000000000000AAA,FeedPostTemplate.Name,Name,FeedPostTemplate,,Name,名前,名前,テキスト(255),false,false,false,true,true,true
000000000000000AAA,FeedPostTemplate.Owner,OwnerId,FeedPostTemplate,,Owner,所有者 氏名,所有者 氏名,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,FeedPostTemplate.SystemModstamp,SystemModstamp,FeedPostTemplate,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,FeedPostTemplate.TableEnumOrId,TableEnumOrId,FeedPostTemplate,,TableEnumOrId,フィード投稿テンプレートエンティティ,フィード投稿テンプレートエンティティ,選択リスト(カスタムオブジェクトの定義),false,false,true,true,true,true
000000000000000AAA,FeedPostTemplate.TemplateType,TemplateType,FeedPostTemplate,,TemplateType,テンプレートの種類,テンプレートの種類,選択リスト,false,true,false,true,true,true
000000000000000AAA,FeedPostTemplate.TimesUsed,TimesUsed,FeedPostTemplate,,TimesUsed,使用回数,使用回数,数値(9、0),false,true,false,true,true,true
