Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,FieldAttributesLocalization.CreatedBy,CreatedById,FieldAttributesLocalization,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,FieldAttributesLocalization.CreatedDate,CreatedDate,FieldAttributesLocalization,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,FieldAttributesLocalization.Id,Id,FieldAttributesLocalization,,Id,翻訳 ID,翻訳 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,FieldAttributesLocalization.Language,Language,FieldAttributesLocalization,,Language,言語,言語,選択リスト,false,false,true,true,true,true
000000000000000AAA,FieldAttributesLocalization.LastModifiedBy,LastModifiedById,FieldAttributesLocalization,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,FieldAttributesLocalization.LastModifiedDate,LastModifiedDate,FieldAttributesLocalization,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,FieldAttributesLocalization.ManageableState,ManageableState,FieldAttributesLocalization,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,FieldAttributesLocalization.NamespacePrefix,NamespacePrefix,FieldAttributesLocalization,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,FieldAttributesLocalization.Parent,ParentId,FieldAttributesLocalization,,Parent,親,親,参照関係(項目属性),false,false,true,true,true,true
000000000000000AAA,FieldAttributesLocalization.SystemModstamp,SystemModstamp,FieldAttributesLocalization,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,FieldAttributesLocalization.Value,Value,FieldAttributesLocalization,,Value,翻訳テキスト,翻訳テキスト,ロングテキストエリア(32000),false,false,false,true,false,true
