Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,FieldDefinition.BusinessOwner,BusinessOwnerId,FieldDefinition,,BusinessOwner,データ所有者,データ所有者,"参照関係(ユーザー,グループ)",false,true,false,true,true,true
000000000000000AAA,FieldDefinition.BusinessStatus,BusinessStatus,FieldDefinition,,BusinessStatus,項目の利用状況,項目の利用状況,選択リスト,false,true,false,true,true,true
000000000000000AAA,FieldDefinition.ComplianceGroup,ComplianceGroup,FieldDefinition,,ComplianceGroup,コンプライアンス分類,コンプライアンス分類,選択リスト (複数選択),false,true,false,true,false,false
000000000000000AAA,FieldDefinition.ControllingFieldDefinition,ControllingFieldDefinitionId,FieldDefinition,,ControllingFieldDefinition,制御項目定義,制御項目定義,外部参照(項目定義),false,true,false,true,true,true
000000000000000AAA,FieldDefinition.DataType,DataType,FieldDefinition,,DataType,データ型,データ型,テキスト(40),false,true,false,true,true,true
000000000000000AAA,FieldDefinition.Description,Description,FieldDefinition,,Description,説明,説明,テキストエリア(1000),false,true,false,true,false,true
000000000000000AAA,FieldDefinition.DeveloperName,DeveloperName,FieldDefinition,,DeveloperName,API 参照名,API 参照名,テキスト(40),false,true,false,true,true,true
000000000000000AAA,FieldDefinition.EntityDefinition,EntityDefinitionId,FieldDefinition,,EntityDefinition,エンティティ定義,エンティティ定義,外部参照(エンティティ定義),false,true,false,true,true,true
000000000000000AAA,FieldDefinition.ExternalId,DurableId,FieldDefinition,,ExternalId,デュラブル ID,デュラブル ID,外部参照,false,true,false,true,true,true
000000000000000AAA,FieldDefinition.ExtraTypeInfo,ExtraTypeInfo,FieldDefinition,,ExtraTypeInfo,追加のデータ型情報,追加のデータ型情報,テキスト(150),false,true,false,true,true,true
000000000000000AAA,FieldDefinition.FullName,FullName,FieldDefinition,,FullName,氏名,氏名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,FieldDefinition.Id,Id,FieldDefinition,,Id,項目定義 ID,項目定義 ID,参照関係(),false,false,false,true,true,true
000000000000000AAA,FieldDefinition.IsAiPredictionField,IsAiPredictionField,FieldDefinition,,IsAiPredictionField,項目は AI 予測項目?,項目は AI 予測項目?,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FieldDefinition.IsApiFilterable,IsApiFilterable,FieldDefinition,,IsApiFilterable,項目は絞り込み可能?,項目は絞り込み可能?,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FieldDefinition.IsApiGroupable,IsApiGroupable,FieldDefinition,,IsApiGroupable,項目はグループ化可能?,項目はグループ化可能?,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FieldDefinition.IsApiSortable,IsApiSortable,FieldDefinition,,IsApiSortable,項目は並び替え可能?,項目は並び替え可能?,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FieldDefinition.IsCalculated,IsCalculated,FieldDefinition,,IsCalculated,項目は計算済み?,項目は計算済み?,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FieldDefinition.IsCompactLayoutable,IsCompactLayoutable,FieldDefinition,,IsCompactLayoutable,コンパクトレイアウトは有効?,コンパクトレイアウトは有効?,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FieldDefinition.IsCompound,IsCompound,FieldDefinition,,IsCompound,項目は複合項目?,項目は複合項目?,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FieldDefinition.IsEverApiAccessible,IsEverApiAccessible,FieldDefinition,,IsEverApiAccessible,項目は API アクセス可能ですか?,項目は API アクセス可能ですか?,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FieldDefinition.IsFieldHistoryTracked,IsFieldHistoryTracked,FieldDefinition,,IsFieldHistoryTracked,項目履歴を追跡中?,項目履歴を追跡中?,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FieldDefinition.IsFlsEnabled,IsFlsEnabled,FieldDefinition,,IsFlsEnabled,項目レベルセキュリティは有効?,項目レベルセキュリティは有効?,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FieldDefinition.IsHighScaleNumber,IsHighScaleNumber,FieldDefinition,,IsHighScaleNumber,項目はハイスケールの数値?,項目はハイスケールの数値?,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FieldDefinition.IsHtmlFormatted,IsHtmlFormatted,FieldDefinition,,IsHtmlFormatted,項目は HTML 形式?,項目は HTML 形式?,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FieldDefinition.IsIndexed,IsIndexed,FieldDefinition,,IsIndexed,項目はインデックス付き?,項目はインデックス付き?,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FieldDefinition.IsListFilterable,IsListFilterable,FieldDefinition,,IsListFilterable,項目はリストで絞り込み可能?,項目はリストで絞り込み可能?,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FieldDefinition.IsListSortable,IsListSortable,FieldDefinition,,IsListSortable,項目はリストで並び替え可能?,項目はリストで並び替え可能?,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FieldDefinition.IsListVisible,IsListVisible,FieldDefinition,,IsListVisible,項目はリストの表示対象?,項目はリストの表示対象?,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FieldDefinition.IsNameField,IsNameField,FieldDefinition,,IsNameField,項目は名前項目?,項目は名前項目?,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FieldDefinition.IsNillable,IsNillable,FieldDefinition,,IsNillable,項目は null 値を許容?,項目は null 値を許容?,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FieldDefinition.IsPolymorphicForeignKey,IsPolymorphicForeignKey,FieldDefinition,,IsPolymorphicForeignKey,ForeignKey はポリモーフィック?,ForeignKey はポリモーフィック?,チェックボックス,false,false,false,true,true,true
