Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,FieldServiceSettings.AdvancedDataSyncOrgPreference,AdvancedDataSyncOrgPreference,FieldServiceSettings,,AdvancedDataSyncOrgPreference,__MISSING LABEL__ PropertyFile - val AdvancedDataSyncOrgPreference not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val AdvancedDataSyncOrgPreference not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FieldServiceSettings.ApptAssistantExpiration,ApptAssistantExpiration,FieldServiceSettings,,ApptAssistantExpiration,__MISSING LABEL__ PropertyFile - val ApptAssistantExpiration not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val ApptAssistantExpiration not found in section udd_SettingsTemplate,数値(-1、0),false,true,false,true,true,true
000000000000000AAA,FieldServiceSettings.ApptAssistantInfoUrl,ApptAssistantInfoUrl,FieldServiceSettings,,ApptAssistantInfoUrl,__MISSING LABEL__ PropertyFile - val ApptAssistantInfoUrl not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val ApptAssistantInfoUrl not found in section udd_SettingsTemplate,テキスト(255),false,true,false,true,true,true
000000000000000AAA,FieldServiceSettings.ApptAssistantRadiusUnitValue,ApptAssistantRadiusUnitValue,FieldServiceSettings,,ApptAssistantRadiusUnitValue,__MISSING LABEL__ PropertyFile - val ApptAssistantRadiusUnitValue not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val ApptAssistantRadiusUnitValue not found in section udd_SettingsTemplate,選択リスト,false,true,false,true,true,true
000000000000000AAA,FieldServiceSettings.ApptAssistantRadiusValue,ApptAssistantRadiusValue,FieldServiceSettings,,ApptAssistantRadiusValue,__MISSING LABEL__ PropertyFile - val ApptAssistantRadiusValue not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val ApptAssistantRadiusValue not found in section udd_SettingsTemplate,数値(-1、0),false,true,false,true,true,true
000000000000000AAA,FieldServiceSettings.ApptAssistantStatus,ApptAssistantStatus,FieldServiceSettings,,ApptAssistantStatus,__MISSING LABEL__ PropertyFile - val ApptAssistantStatus not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val ApptAssistantStatus not found in section udd_SettingsTemplate,テキスト(255),false,true,false,true,true,true
000000000000000AAA,FieldServiceSettings.CanPopulateGoogleAddress,CanPopulateGoogleAddress,FieldServiceSettings,,CanPopulateGoogleAddress,__MISSING LABEL__ PropertyFile - val CanPopulateGoogleAddress not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val CanPopulateGoogleAddress not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FieldServiceSettings.CanSendAppCenterCrashReports,CanSendAppCenterCrashReports,FieldServiceSettings,,CanSendAppCenterCrashReports,__MISSING LABEL__ PropertyFile - val CanSendAppCenterCrashReports not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val CanSendAppCenterCrashReports not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FieldServiceSettings.CanStoreMobileAnalytics,CanStoreMobileAnalytics,FieldServiceSettings,,CanStoreMobileAnalytics,__MISSING LABEL__ PropertyFile - val CanStoreMobileAnalytics not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val CanStoreMobileAnalytics not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FieldServiceSettings.DeepLinkPublicSecurityKey,DeepLinkPublicSecurityKey,FieldServiceSettings,,DeepLinkPublicSecurityKey,__MISSING LABEL__ PropertyFile - val DeepLinkPublicSecurityKey not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val DeepLinkPublicSecurityKey not found in section udd_SettingsTemplate,テキスト(255),false,true,false,true,true,true
