Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,FieldSet.AllManagedPackageMember,AllManagedPackageMemberId,FieldSet,,AllManagedPackageMember,AMPM エントリ,AMPM エントリ,参照関係(すべての管理パッケージメンバー),false,true,true,true,true,true
000000000000000AAA,FieldSet.CreatedBy,CreatedById,FieldSet,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,FieldSet.CreatedDate,CreatedDate,FieldSet,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,FieldSet.Description,Description,FieldSet,,Description,使用場所,使用場所,テキストエリア(1000),false,false,false,true,false,true
000000000000000AAA,FieldSet.DeveloperName,DeveloperName,FieldSet,,DeveloperName,項目セット名,項目セット名,テキスト(40),false,false,false,true,true,true
000000000000000AAA,FieldSet.EntityDefinition,EntityDefinitionId,FieldSet,,EntityDefinition,エンティティ定義,エンティティ定義,外部参照(エンティティ定義),false,false,false,true,true,true
000000000000000AAA,FieldSet.Id,Id,FieldSet,,Id,項目セット ID,項目セット ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,FieldSet.LastModifiedBy,LastModifiedById,FieldSet,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,FieldSet.LastModifiedDate,LastModifiedDate,FieldSet,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,FieldSet.ManageableState,ManageableState,FieldSet,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,FieldSet.MasterLabel,MasterLabel,FieldSet,,MasterLabel,項目セットラベル,項目セットラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,FieldSet.NamespacePrefix,NamespacePrefix,FieldSet,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,FieldSet.SystemModstamp,SystemModstamp,FieldSet,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,FieldSet.TableEnumOrId,TableEnumOrId,FieldSet,,TableEnumOrId,エンティティ,エンティティ,選択リスト(Custom Object Definitions),false,false,true,true,true,true
