Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,FlowDefinitionLocalization.CreatedBy,CreatedById,FlowDefinitionLocalization,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,FlowDefinitionLocalization.CreatedDate,CreatedDate,FlowDefinitionLocalization,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,FlowDefinitionLocalization.Id,Id,FlowDefinitionLocalization,,Id,翻訳 ID,翻訳 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,FlowDefinitionLocalization.Language,Language,FlowDefinitionLocalization,,Language,言語,言語,選択リスト,false,false,true,true,true,true
000000000000000AAA,FlowDefinitionLocalization.LastModifiedBy,LastModifiedById,FlowDefinitionLocalization,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,FlowDefinitionLocalization.LastModifiedDate,LastModifiedDate,FlowDefinitionLocalization,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,FlowDefinitionLocalization.ManageableState,ManageableState,FlowDefinitionLocalization,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,FlowDefinitionLocalization.NamespacePrefix,NamespacePrefix,FlowDefinitionLocalization,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,FlowDefinitionLocalization.Parent,ParentId,FlowDefinitionLocalization,,Parent,親,親,参照関係(フロー定義),false,false,true,true,true,true
000000000000000AAA,FlowDefinitionLocalization.SystemModstamp,SystemModstamp,FlowDefinitionLocalization,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,FlowDefinitionLocalization.Value,Value,FlowDefinitionLocalization,,Value,翻訳テキスト,翻訳テキスト,ロングテキストエリア(32000),false,false,false,true,false,true
