Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,FlowStageRelation.CreatedBy,CreatedById,FlowStageRelation,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,FlowStageRelation.CreatedDate,CreatedDate,FlowStageRelation,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,FlowStageRelation.FlexIndex,FlexIndex,FlowStageRelation,,FlexIndex,Flex インデックス,Flex インデックス,数式 (テキスト),true,true,false,true,true,true
000000000000000AAA,FlowStageRelation.Id,Id,FlowStageRelation,,Id,フローインタビューフェーズリレーション ID,フローインタビューフェーズリレーション ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,FlowStageRelation.IsDeleted,IsDeleted,FlowStageRelation,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,FlowStageRelation.LastModifiedBy,LastModifiedById,FlowStageRelation,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,FlowStageRelation.LastModifiedDate,LastModifiedDate,FlowStageRelation,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,FlowStageRelation.Name,Name,FlowStageRelation,,Name,名前,名前,自動採番,false,false,true,true,false,true
000000000000000AAA,FlowStageRelation.Parent,ParentId,FlowStageRelation,,Parent,フローインタビュー,フローインタビュー,主従関係(Flow Interview),false,false,true,true,true,true
000000000000000AAA,FlowStageRelation.RecordVisibility,RecordVisibilityId,FlowStageRelation,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,FlowStageRelation.Stage,StageId,FlowStageRelation,,Stage,インタラクションフェーズの表示ラベル,インタラクションフェーズの表示ラベル,参照関係(インタラクションフェーズ),false,false,false,true,true,true
000000000000000AAA,FlowStageRelation.StageLabel,StageLabel,FlowStageRelation,,StageLabel,フェーズ表示ラベル,フェーズ表示ラベル,テキスト(1000),false,true,false,true,false,true
000000000000000AAA,FlowStageRelation.StageOrder,StageOrder,FlowStageRelation,,StageOrder,フェーズ順序,フェーズ順序,数値(9、0),false,false,false,true,true,true
000000000000000AAA,FlowStageRelation.StageType,StageType,FlowStageRelation,,StageType,フェーズ種別,フェーズ種別,選択リスト,false,true,false,true,true,true
000000000000000AAA,FlowStageRelation.SystemModstamp,SystemModstamp,FlowStageRelation,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,FlowStageRelation.UserRecordAccess,UserRecordAccessId,FlowStageRelation,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
