Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,GenAiPromptTemplateVersionAsset.AssetType,AssetType,GenAiPromptTemplateVersionAsset,,AssetType,Asset Type,Asset Type,選択リスト,false,true,false,true,true,true
000000000000000AAA,GenAiPromptTemplateVersionAsset.Content,Content,GenAiPromptTemplateVersionAsset,,Content,Content,Content,テキストエリア,false,true,false,false,false,false
000000000000000AAA,GenAiPromptTemplateVersionAsset.ContentAsset,ContentAssetId,GenAiPromptTemplateVersionAsset,,ContentAsset,Content Asset,Content Asset,参照関係(アセットファイル),false,true,false,true,true,true
000000000000000AAA,GenAiPromptTemplateVersionAsset.CreatedBy,CreatedById,GenAiPromptTemplateVersionAsset,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,GenAiPromptTemplateVersionAsset.CreatedDate,CreatedDate,GenAiPromptTemplateVersionAsset,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,GenAiPromptTemplateVersionAsset.Description,Description,GenAiPromptTemplateVersionAsset,,Description,Description,Description,テキスト(255),false,true,false,true,true,true
000000000000000AAA,GenAiPromptTemplateVersionAsset.FileName,FileName,GenAiPromptTemplateVersionAsset,,FileName,File Name,File Name,テキスト(255),false,true,false,true,true,true
000000000000000AAA,GenAiPromptTemplateVersionAsset.FolderPath,FolderPath,GenAiPromptTemplateVersionAsset,,FolderPath,Folder Path,Folder Path,テキスト(255),false,true,false,true,true,true
000000000000000AAA,GenAiPromptTemplateVersionAsset.Id,Id,GenAiPromptTemplateVersionAsset,,Id,Prompt Template Version Asset ID,Prompt Template Version Asset ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,GenAiPromptTemplateVersionAsset.IsDeleted,IsDeleted,GenAiPromptTemplateVersionAsset,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,GenAiPromptTemplateVersionAsset.Label,Label,GenAiPromptTemplateVersionAsset,,Label,Label,Label,テキスト(255),false,true,false,true,true,true
000000000000000AAA,GenAiPromptTemplateVersionAsset.LastModifiedBy,LastModifiedById,GenAiPromptTemplateVersionAsset,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,GenAiPromptTemplateVersionAsset.LastModifiedDate,LastModifiedDate,GenAiPromptTemplateVersionAsset,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,GenAiPromptTemplateVersionAsset.Parent,ParentId,GenAiPromptTemplateVersionAsset,,Parent,Prompt Template Version,Prompt Template Version,主従関係(Generative AI Prompt Template Versions),false,false,true,true,true,true
000000000000000AAA,GenAiPromptTemplateVersionAsset.Path,Path,GenAiPromptTemplateVersionAsset,,Path,Path,Path,テキスト(255),false,false,false,true,true,true
000000000000000AAA,GenAiPromptTemplateVersionAsset.SystemModstamp,SystemModstamp,GenAiPromptTemplateVersionAsset,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
