Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,GisMapActionDefinition.Action,ActionId,GisMapActionDefinition,,Action,アクション,アクション,参照関係(アクション),false,true,true,true,true,true
000000000000000AAA,GisMapActionDefinition.CreatedBy,CreatedById,GisMapActionDefinition,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,GisMapActionDefinition.CreatedDate,CreatedDate,GisMapActionDefinition,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,GisMapActionDefinition.DeveloperName,DeveloperName,GisMapActionDefinition,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,GisMapActionDefinition.Id,Id,GisMapActionDefinition,,Id,GIS 地図アクション定義 ID,GIS 地図アクション定義 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,GisMapActionDefinition.IsDeleted,IsDeleted,GisMapActionDefinition,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,GisMapActionDefinition.Language,Language,GisMapActionDefinition,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,GisMapActionDefinition.LastModifiedBy,LastModifiedById,GisMapActionDefinition,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,GisMapActionDefinition.LastModifiedDate,LastModifiedDate,GisMapActionDefinition,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,GisMapActionDefinition.MasterLabel,MasterLabel,GisMapActionDefinition,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,GisMapActionDefinition.OperationType,OperationType,GisMapActionDefinition,,OperationType,操作種別,操作種別,選択リスト,false,true,false,true,true,true
000000000000000AAA,GisMapActionDefinition.SystemModstamp,SystemModstamp,GisMapActionDefinition,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
