Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,GroupActionOverride.Action,Action,GroupActionOverride,,Action,Action,Action,選択リスト(),false,false,false,true,true,true
000000000000000AAA,GroupActionOverride.Application,ApplicationId,GroupActionOverride,,Application,Application,Application,参照関係(カスタムアプリケーション),false,false,false,true,true,true
000000000000000AAA,GroupActionOverride.CreatedBy,CreatedById,GroupActionOverride,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,GroupActionOverride.CreatedDate,CreatedDate,GroupActionOverride,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,GroupActionOverride.FlexiPage,FlexiPageId,GroupActionOverride,,FlexiPage,コンテンツ,コンテンツ,参照関係(Lightning ページ),false,false,false,true,true,true
000000000000000AAA,GroupActionOverride.FlexiPageName,FlexiPageName,GroupActionOverride,,FlexiPageName,FlexiPage Name,FlexiPage Name,テキスト(100),false,true,false,true,true,true
000000000000000AAA,GroupActionOverride.FormFactor,FormFactor,GroupActionOverride,,FormFactor,Form Factor,Form Factor,選択リスト,false,true,false,true,true,true
000000000000000AAA,GroupActionOverride.Id,Id,GroupActionOverride,,Id,User Group Action Override Config Id,User Group Action Override Config Id,参照関係(),false,false,true,true,true,true
000000000000000AAA,GroupActionOverride.IsDeleted,IsDeleted,GroupActionOverride,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,GroupActionOverride.LastModifiedBy,LastModifiedById,GroupActionOverride,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,GroupActionOverride.LastModifiedDate,LastModifiedDate,GroupActionOverride,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,GroupActionOverride.PageOrSobjectType,PageOrSobjectType,GroupActionOverride,,PageOrSobjectType,Custom Object Definition,Custom Object Definition,"選択リスト(Custom Object Definitions,プラットフォームスキーマ定義)",false,false,true,true,true,true
000000000000000AAA,GroupActionOverride.SystemModstamp,SystemModstamp,GroupActionOverride,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,GroupActionOverride.Type,Type,GroupActionOverride,,Type,種別,種別,選択リスト,false,true,false,true,true,true
000000000000000AAA,GroupActionOverride.UserGroup,UserGroupId,GroupActionOverride,,UserGroup,Group,Group,参照関係(グループ),false,false,false,true,true,true
