Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,InboundNetworkConnection.ConnectionType,ConnectionType,InboundNetworkConnection,,ConnectionType,ConnectionType,ConnectionType,選択リスト,false,false,true,true,true,true
000000000000000AAA,InboundNetworkConnection.CreatedBy,CreatedById,InboundNetworkConnection,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,InboundNetworkConnection.CreatedDate,CreatedDate,InboundNetworkConnection,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,InboundNetworkConnection.Description,Description,InboundNetworkConnection,,Description,説明,説明,テキスト(255),false,true,false,true,true,true
000000000000000AAA,InboundNetworkConnection.DeveloperName,DeveloperName,InboundNetworkConnection,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,InboundNetworkConnection.FullName,FullName,InboundNetworkConnection,,FullName,FullName,FullName,テキスト(255),false,true,false,false,true,false
000000000000000AAA,InboundNetworkConnection.Id,Id,InboundNetworkConnection,,Id,受信ネットワーク接続 ID,受信ネットワーク接続 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,InboundNetworkConnection.IsActive,IsActive,InboundNetworkConnection,,IsActive,IsActive,IsActive,チェックボックス,false,false,false,true,true,true
000000000000000AAA,InboundNetworkConnection.IsDeleted,IsDeleted,InboundNetworkConnection,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,InboundNetworkConnection.Language,Language,InboundNetworkConnection,,Language,マスター言語,マスター言語,選択リスト,false,true,false,true,true,true
000000000000000AAA,InboundNetworkConnection.LastModifiedBy,LastModifiedById,InboundNetworkConnection,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,InboundNetworkConnection.LastModifiedDate,LastModifiedDate,InboundNetworkConnection,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,InboundNetworkConnection.ManageableState,ManageableState,InboundNetworkConnection,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,InboundNetworkConnection.MasterLabel,MasterLabel,InboundNetworkConnection,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,InboundNetworkConnection.Metadata,Metadata,InboundNetworkConnection,,Metadata,メタデータ,メタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,InboundNetworkConnection.NamespacePrefix,NamespacePrefix,InboundNetworkConnection,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,InboundNetworkConnection.Status,Status,InboundNetworkConnection,,Status,状況,状況,選択リスト,false,false,false,true,true,true
000000000000000AAA,InboundNetworkConnection.SystemModstamp,SystemModstamp,InboundNetworkConnection,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
