Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,IncidentRelatedItemChangeEvent.Asset,AssetId,IncidentRelatedItemChangeEvent,,Asset,納入商品,納入商品,参照関係(納入商品),false,true,false,false,false,false
000000000000000AAA,IncidentRelatedItemChangeEvent.ChangeEventHeader,ChangeEventHeader,IncidentRelatedItemChangeEvent,,ChangeEventHeader,変更イベントヘッダー,変更イベントヘッダー,複合値,false,false,false,false,false,false
000000000000000AAA,IncidentRelatedItemChangeEvent.Comment,Comment,IncidentRelatedItemChangeEvent,,Comment,コメント,コメント,ロングテキストエリア(32000),false,true,false,false,false,false
000000000000000AAA,IncidentRelatedItemChangeEvent.CreatedBy,CreatedById,IncidentRelatedItemChangeEvent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,IncidentRelatedItemChangeEvent.CreatedDate,CreatedDate,IncidentRelatedItemChangeEvent,,CreatedDate,作成日,作成日,日付/時間,false,true,false,false,false,false
000000000000000AAA,IncidentRelatedItemChangeEvent.ImpactLevel,ImpactLevel,IncidentRelatedItemChangeEvent,,ImpactLevel,影響レベル,影響レベル,選択リスト,false,true,false,false,false,false
000000000000000AAA,IncidentRelatedItemChangeEvent.ImpactType,ImpactType,IncidentRelatedItemChangeEvent,,ImpactType,影響種別,影響種別,選択リスト,false,true,false,false,false,false
000000000000000AAA,IncidentRelatedItemChangeEvent.Incident,IncidentId,IncidentRelatedItemChangeEvent,,Incident,障害,障害,参照関係(障害),false,true,false,false,false,false
000000000000000AAA,IncidentRelatedItemChangeEvent.LastModifiedBy,LastModifiedById,IncidentRelatedItemChangeEvent,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,IncidentRelatedItemChangeEvent.LastModifiedDate,LastModifiedDate,IncidentRelatedItemChangeEvent,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,true,false,false,false,false
000000000000000AAA,IncidentRelatedItemChangeEvent.Name,Name,IncidentRelatedItemChangeEvent,,Name,障害関連項目番号,障害関連項目番号,自動採番,false,false,false,false,false,false
000000000000000AAA,IncidentRelatedItemChangeEvent.Product2,Product2Id,IncidentRelatedItemChangeEvent,,Product2,商品,商品,参照関係(商品),false,true,false,false,false,false
