Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,InsightsExternalDataPart.CompressedDataLength,CompressedDataLength,InsightsExternalDataPart,,CompressedDataLength,ファイルパーツ圧縮長,ファイルパーツ圧縮長,数値(9、0),false,true,false,true,true,true
000000000000000AAA,InsightsExternalDataPart.CreatedBy,CreatedById,InsightsExternalDataPart,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,InsightsExternalDataPart.CreatedDate,CreatedDate,InsightsExternalDataPart,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,InsightsExternalDataPart.DataFile,DataFile,InsightsExternalDataPart,,DataFile,データパーツ,データパーツ,テキストエリア,false,true,false,false,false,false
000000000000000AAA,InsightsExternalDataPart.DataLength,DataLength,InsightsExternalDataPart,,DataLength,データパーツ長,データパーツ長,数値(9、0),false,true,false,true,true,true
000000000000000AAA,InsightsExternalDataPart.Id,Id,InsightsExternalDataPart,,Id,外部データのパート ID,外部データのパート ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,InsightsExternalDataPart.InsightsExternalData,InsightsExternalDataId,InsightsExternalDataPart,,InsightsExternalData,外部データ,外部データ,"参照関係(外部データ,Wave テンプレート外部データ)",false,false,true,true,true,true
000000000000000AAA,InsightsExternalDataPart.IsDeleted,IsDeleted,InsightsExternalDataPart,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,InsightsExternalDataPart.LastModifiedBy,LastModifiedById,InsightsExternalDataPart,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,InsightsExternalDataPart.LastModifiedDate,LastModifiedDate,InsightsExternalDataPart,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,InsightsExternalDataPart.PartNumber,PartNumber,InsightsExternalDataPart,,PartNumber,データパーツ番号,データパーツ番号,数値(9、0),false,false,false,true,true,true
000000000000000AAA,InsightsExternalDataPart.SystemModstamp,SystemModstamp,InsightsExternalDataPart,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
