Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,InteractionCollFilterCritLocalization.CreatedBy,CreatedById,InteractionCollFilterCritLocalization,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,InteractionCollFilterCritLocalization.CreatedDate,CreatedDate,InteractionCollFilterCritLocalization,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,InteractionCollFilterCritLocalization.Id,Id,InteractionCollFilterCritLocalization,,Id,翻訳 ID,翻訳 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,InteractionCollFilterCritLocalization.Language,Language,InteractionCollFilterCritLocalization,,Language,言語,言語,選択リスト,false,false,true,true,true,true
000000000000000AAA,InteractionCollFilterCritLocalization.LastModifiedBy,LastModifiedById,InteractionCollFilterCritLocalization,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,InteractionCollFilterCritLocalization.LastModifiedDate,LastModifiedDate,InteractionCollFilterCritLocalization,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,InteractionCollFilterCritLocalization.ManageableState,ManageableState,InteractionCollFilterCritLocalization,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,InteractionCollFilterCritLocalization.NamespacePrefix,NamespacePrefix,InteractionCollFilterCritLocalization,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,InteractionCollFilterCritLocalization.Parent,ParentId,InteractionCollFilterCritLocalization,,Parent,親,親,参照関係(InteractionCollectionFilterCriteria),false,false,true,true,true,true
000000000000000AAA,InteractionCollFilterCritLocalization.SystemModstamp,SystemModstamp,InteractionCollFilterCritLocalization,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,InteractionCollFilterCritLocalization.Value,Value,InteractionCollFilterCritLocalization,,Value,翻訳テキスト,翻訳テキスト,ロングテキストエリア(32000),false,false,false,true,false,true
