Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,InvocableAction.AllowsTransactionControl,AllowsTransactionControl,InvocableAction,,AllowsTransactionControl,トランザクションの制御を許可,トランザクションの制御を許可,チェックボックス,false,false,false,true,true,true
000000000000000AAA,InvocableAction.CapabilityType,CapabilityType,InvocableAction,,CapabilityType,呼び出し可能なアクションの機能種別。,呼び出し可能なアクションの機能種別。,テキスト(255),false,true,false,true,true,true
000000000000000AAA,InvocableAction.Category,Category,InvocableAction,,Category,この呼び出し可能なアクションの作成者によって提供されるカテゴリ,この呼び出し可能なアクションの作成者によって提供されるカテゴリ,テキスト(255),false,true,false,true,true,true
000000000000000AAA,InvocableAction.ConfigurationEditor,ConfigurationEditor,InvocableAction,,ConfigurationEditor,この呼び出し可能なアクションの作成者によって提供される設定エディター,この呼び出し可能なアクションの作成者によって提供される設定エディター,テキスト(255),false,true,false,true,true,true
000000000000000AAA,InvocableAction.Description,Description,InvocableAction,,Description,説明,説明,テキスト(255),false,true,false,true,true,true
000000000000000AAA,InvocableAction.ExternalId,DurableId,InvocableAction,,ExternalId,呼び出し可能なアクションデュラブル ID,呼び出し可能なアクションデュラブル ID,外部参照,false,true,false,true,true,true
000000000000000AAA,InvocableAction.Flavor,Flavor,InvocableAction,,Flavor,この呼び出し可能なアクションのフレーバー,この呼び出し可能なアクションのフレーバー,テキスト(255),false,true,false,true,true,true
000000000000000AAA,InvocableAction.HasCallout,HasCallout,InvocableAction,,HasCallout,コールアウトあり,コールアウトあり,チェックボックス,false,false,false,true,true,true
000000000000000AAA,InvocableAction.Icon,IconId,InvocableAction,,Icon,静的リソース,静的リソース,参照関係(静的リソース),false,true,false,true,true,true
000000000000000AAA,InvocableAction.IconName,IconName,InvocableAction,,IconName,この呼び出し可能なアクションの作成者によって提供されるアイコン名,この呼び出し可能なアクションの作成者によって提供されるアイコン名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,InvocableAction.Id,Id,InvocableAction,,Id,呼び出し可能なアクション ID,呼び出し可能なアクション ID,参照関係(),false,false,false,true,true,true
000000000000000AAA,InvocableAction.IsAsync,IsAsync,InvocableAction,,IsAsync,非同期,非同期,チェックボックス,false,false,false,true,true,true
000000000000000AAA,InvocableAction.IsStandard,IsStandard,InvocableAction,,IsStandard,標準,標準,チェックボックス,false,false,false,true,true,true
000000000000000AAA,InvocableAction.Label,Label,InvocableAction,,Label,表示ラベル,表示ラベル,テキスト(255),false,true,false,true,true,true
000000000000000AAA,InvocableAction.Name,Name,InvocableAction,,Name,名前,名前,テキスト(255),false,false,false,true,true,true
000000000000000AAA,InvocableAction.Type,Type,InvocableAction,,Type,種別,種別,テキスト(255),false,false,false,true,true,true
000000000000000AAA,InvocableAction.Version,Version,InvocableAction,,Version,バージョン,バージョン,数値(9、0),false,true,false,true,true,true
