Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,KnowledgeSettings.Answers,AnswersId,KnowledgeSettings,,Answers,__MISSING LABEL__ PropertyFile - val Answers not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val Answers not found in section udd_SettingsTemplate,外部参照,false,true,false,true,true,true
000000000000000AAA,KnowledgeSettings.Cases,CasesId,KnowledgeSettings,,Cases,__MISSING LABEL__ PropertyFile - val Cases not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val Cases not found in section udd_SettingsTemplate,外部参照,false,true,false,true,true,true
000000000000000AAA,KnowledgeSettings.DefaultLanguage,DefaultLanguage,KnowledgeSettings,,DefaultLanguage,__MISSING LABEL__ PropertyFile - val DefaultLanguage not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val DefaultLanguage not found in section udd_SettingsTemplate,テキスト(255),false,true,false,true,true,true
000000000000000AAA,KnowledgeSettings.ExternalId,DurableId,KnowledgeSettings,,ExternalId,設定テンプレート外部 ID,設定テンプレート外部 ID,外部参照,false,true,false,true,true,true
000000000000000AAA,KnowledgeSettings.FullName,FullName,KnowledgeSettings,,FullName,氏名,氏名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,KnowledgeSettings.Id,Id,KnowledgeSettings,,Id,設定テンプレート ID,設定テンプレート ID,参照関係(),false,false,false,true,true,true
000000000000000AAA,KnowledgeSettings.IsChatterQuestionKbDeflectionEnabled,IsChatterQuestionKbDeflectionEnabled,KnowledgeSettings,,IsChatterQuestionKbDeflectionEnabled,__MISSING LABEL__ PropertyFile - val IsChatterQuestionKbDeflectionEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsChatterQuestionKbDeflectionEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,KnowledgeSettings.IsCreateEditOnArticlesTabEnabled,IsCreateEditOnArticlesTabEnabled,KnowledgeSettings,,IsCreateEditOnArticlesTabEnabled,__MISSING LABEL__ PropertyFile - val IsCreateEditOnArticlesTabEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsCreateEditOnArticlesTabEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,KnowledgeSettings.IsExternalMediaContentEnabled,IsExternalMediaContentEnabled,KnowledgeSettings,,IsExternalMediaContentEnabled,__MISSING LABEL__ PropertyFile - val IsExternalMediaContentEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsExternalMediaContentEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,KnowledgeSettings.IsKbStandardSharingEnabled,IsKbStandardSharingEnabled,KnowledgeSettings,,IsKbStandardSharingEnabled,__MISSING LABEL__ PropertyFile - val IsKbStandardSharingEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsKbStandardSharingEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,KnowledgeSettings.IsKnowledgeAgentContributionEnabled,IsKnowledgeAgentContributionEnabled,KnowledgeSettings,,IsKnowledgeAgentContributionEnabled,__MISSING LABEL__ PropertyFile - val IsKnowledgeAgentContributionEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsKnowledgeAgentContributionEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,KnowledgeSettings.IsKnowledgeAnswersPromotionEnabled,IsKnowledgeAnswersPromotionEnabled,KnowledgeSettings,,IsKnowledgeAnswersPromotionEnabled,__MISSING LABEL__ PropertyFile - val IsKnowledgeAnswersPromotionEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsKnowledgeAnswersPromotionEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,KnowledgeSettings.IsKnowledgeArticleTextHighlightsEnabled,IsKnowledgeArticleTextHighlightsEnabled,KnowledgeSettings,,IsKnowledgeArticleTextHighlightsEnabled,__MISSING LABEL__ PropertyFile - val IsKnowledgeArticleTextHighlightsEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsKnowledgeArticleTextHighlightsEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,KnowledgeSettings.IsKnowledgeCaseRlEnabled,IsKnowledgeCaseRlEnabled,KnowledgeSettings,,IsKnowledgeCaseRlEnabled,__MISSING LABEL__ PropertyFile - val IsKnowledgeCaseRlEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsKnowledgeCaseRlEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,KnowledgeSettings.IsKnowledgeEnabled,IsKnowledgeEnabled,KnowledgeSettings,,IsKnowledgeEnabled,__MISSING LABEL__ PropertyFile - val IsKnowledgeEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsKnowledgeEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,KnowledgeSettings.IsKnowledgeKeywordAutoCompleteEnabled,IsKnowledgeKeywordAutoCompleteEnabled,KnowledgeSettings,,IsKnowledgeKeywordAutoCompleteEnabled,__MISSING LABEL__ PropertyFile - val IsKnowledgeKeywordAutoCompleteEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsKnowledgeKeywordAutoCompleteEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,KnowledgeSettings.IsKnowledgeTitleAutoCompleteEnabled,IsKnowledgeTitleAutoCompleteEnabled,KnowledgeSettings,,IsKnowledgeTitleAutoCompleteEnabled,__MISSING LABEL__ PropertyFile - val IsKnowledgeTitleAutoCompleteEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsKnowledgeTitleAutoCompleteEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,KnowledgeSettings.IsLightningKbAutoLoadRichTextFieldEnabled,IsLightningKbAutoLoadRichTextFieldEnabled,KnowledgeSettings,,IsLightningKbAutoLoadRichTextFieldEnabled,__MISSING LABEL__ PropertyFile - val IsLightningKbAutoLoadRichTextFieldEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsLightningKbAutoLoadRichTextFieldEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,KnowledgeSettings.IsLightningKnowledgeEnabled,IsLightningKnowledgeEnabled,KnowledgeSettings,,IsLightningKnowledgeEnabled,__MISSING LABEL__ PropertyFile - val IsLightningKnowledgeEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsLightningKnowledgeEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,KnowledgeSettings.Languages,LanguagesId,KnowledgeSettings,,Languages,__MISSING LABEL__ PropertyFile - val Languages not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val Languages not found in section udd_SettingsTemplate,外部参照,false,true,false,true,true,true
000000000000000AAA,KnowledgeSettings.Metadata,Metadata,KnowledgeSettings,,Metadata,メタデータ,メタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,KnowledgeSettings.ShowArticleSummariesCustomerPortal,ShowArticleSummariesCustomerPortal,KnowledgeSettings,,ShowArticleSummariesCustomerPortal,__MISSING LABEL__ PropertyFile - val ShowArticleSummariesCustomerPortal not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val ShowArticleSummariesCustomerPortal not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,KnowledgeSettings.ShowArticleSummariesInternalApp,ShowArticleSummariesInternalApp,KnowledgeSettings,,ShowArticleSummariesInternalApp,__MISSING LABEL__ PropertyFile - val ShowArticleSummariesInternalApp not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val ShowArticleSummariesInternalApp not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,KnowledgeSettings.ShowArticleSummariesPartnerPortal,ShowArticleSummariesPartnerPortal,KnowledgeSettings,,ShowArticleSummariesPartnerPortal,__MISSING LABEL__ PropertyFile - val ShowArticleSummariesPartnerPortal not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val ShowArticleSummariesPartnerPortal not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,KnowledgeSettings.ShowValidationStatusField,ShowValidationStatusField,KnowledgeSettings,,ShowValidationStatusField,__MISSING LABEL__ PropertyFile - val ShowValidationStatusField not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val ShowValidationStatusField not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,KnowledgeSettings.SuggestedArticles,SuggestedArticlesId,KnowledgeSettings,,SuggestedArticles,__MISSING LABEL__ PropertyFile - val SuggestedArticles not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val SuggestedArticles not found in section udd_SettingsTemplate,外部参照,false,true,false,true,true,true
000000000000000AAA,KnowledgeSettings.VotingEnabled,VotingEnabled,KnowledgeSettings,,VotingEnabled,__MISSING LABEL__ PropertyFile - val VotingEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val VotingEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
