Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,LegalEntity.CompanyName,CompanyName,LegalEntity,,CompanyName,会社名,会社名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,LegalEntity.CreatedBy,CreatedById,LegalEntity,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,LegalEntity.CreatedDate,CreatedDate,LegalEntity,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,LegalEntity.Description,Description,LegalEntity,,Description,説明,説明,テキストエリア(255),false,true,false,true,true,true
000000000000000AAA,LegalEntity.Id,Id,LegalEntity,,Id,法人 ID,法人 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,LegalEntity.IsDeleted,IsDeleted,LegalEntity,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,LegalEntity.LastModifiedBy,LastModifiedById,LegalEntity,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,LegalEntity.LastModifiedDate,LastModifiedDate,LegalEntity,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,LegalEntity.LastReferencedDate,LastReferencedDate,LegalEntity,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,LegalEntity.LastViewedDate,LastViewedDate,LegalEntity,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,LegalEntity.LegalEntityAddress,LegalEntityAddress,LegalEntity,,LegalEntityAddress,住所,住所,住所,false,true,false,true,false,false
000000000000000AAA,LegalEntity.Name,Name,LegalEntity,,Name,法人名,法人名,テキスト(255),false,false,true,true,true,true
000000000000000AAA,LegalEntity.Owner,OwnerId,LegalEntity,,Owner,所有者 氏名,所有者 氏名,"参照関係(ユーザー,グループ)",false,false,true,true,true,true
000000000000000AAA,LegalEntity.RecordVisibility,RecordVisibilityId,LegalEntity,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,LegalEntity.Status,Status,LegalEntity,,Status,状況,状況,選択リスト,false,true,false,true,true,true
000000000000000AAA,LegalEntity.SystemModstamp,SystemModstamp,LegalEntity,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,LegalEntity.UserRecordAccess,UserRecordAccessId,LegalEntity,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
