Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,LightningOutAppComponent.ApplicationName,ApplicationName,LightningOutAppComponent,,ApplicationName,申込名,申込名,テキスト(64),false,false,false,true,true,true
000000000000000AAA,LightningOutAppComponent.ComponentName,ComponentName,LightningOutAppComponent,,ComponentName,コンポーネント名,コンポーネント名,テキスト(128),false,false,false,true,true,true
000000000000000AAA,LightningOutAppComponent.CreatedBy,CreatedById,LightningOutAppComponent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,LightningOutAppComponent.CreatedDate,CreatedDate,LightningOutAppComponent,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,LightningOutAppComponent.DeveloperName,DeveloperName,LightningOutAppComponent,,DeveloperName,オブジェクト名,オブジェクト名,テキスト(80),false,false,false,true,true,true
000000000000000AAA,LightningOutAppComponent.ElementIdentifier,ElementIdentifier,LightningOutAppComponent,,ElementIdentifier,要素識別子,要素識別子,テキスト(64),false,true,false,true,true,true
000000000000000AAA,LightningOutAppComponent.Id,Id,LightningOutAppComponent,,Id,Lightning Out アプリケーションホストページ ID,Lightning Out アプリケーションホストページ ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,LightningOutAppComponent.InitialHeight,InitialHeight,LightningOutAppComponent,,InitialHeight,初期高さ,初期高さ,数値(9、0),false,true,false,true,true,true
000000000000000AAA,LightningOutAppComponent.IsAutoResizeEnabled,IsAutoResizeEnabled,LightningOutAppComponent,,IsAutoResizeEnabled,自動サイズ変更有効,自動サイズ変更有効,チェックボックス,false,false,false,true,true,true
000000000000000AAA,LightningOutAppComponent.IsDeleted,IsDeleted,LightningOutAppComponent,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,LightningOutAppComponent.Language,Language,LightningOutAppComponent,,Language,マスター言語,マスター言語,選択リスト,false,true,false,true,true,true
000000000000000AAA,LightningOutAppComponent.LastModifiedBy,LastModifiedById,LightningOutAppComponent,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,LightningOutAppComponent.LastModifiedDate,LastModifiedDate,LightningOutAppComponent,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,LightningOutAppComponent.MasterLabel,MasterLabel,LightningOutAppComponent,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,LightningOutAppComponent.MaxHeight,MaxHeight,LightningOutAppComponent,,MaxHeight,最大高さ,最大高さ,数値(9、0),false,true,false,true,true,true
000000000000000AAA,LightningOutAppComponent.MinHeight,MinHeight,LightningOutAppComponent,,MinHeight,最小高さ,最小高さ,数値(9、0),false,true,false,true,true,true
000000000000000AAA,LightningOutAppComponent.Props,Props,LightningOutAppComponent,,Props,プロパティ,プロパティ,テキスト(40),false,true,false,true,true,true
000000000000000AAA,LightningOutAppComponent.SobjectType,LightningOutAppId,LightningOutAppComponent,,SobjectType,Lightning Out アプリケーション,Lightning Out アプリケーション,参照関係(Lightning Out アプリケーション),false,false,true,true,true,true
000000000000000AAA,LightningOutAppComponent.SystemModstamp,SystemModstamp,LightningOutAppComponent,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
