Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,LightningOutAppHost.ApplicationName,ApplicationName,LightningOutAppHost,,ApplicationName,申込名,申込名,テキスト(64),false,false,false,true,true,true
000000000000000AAA,LightningOutAppHost.CreatedBy,CreatedById,LightningOutAppHost,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,LightningOutAppHost.CreatedDate,CreatedDate,LightningOutAppHost,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,LightningOutAppHost.DeveloperName,DeveloperName,LightningOutAppHost,,DeveloperName,オブジェクト名,オブジェクト名,テキスト(80),false,false,false,true,true,true
000000000000000AAA,LightningOutAppHost.HostDomain,HostDomain,LightningOutAppHost,,HostDomain,ホストドメイン,ホストドメイン,テキスト(128),false,false,false,true,true,true
000000000000000AAA,LightningOutAppHost.Id,Id,LightningOutAppHost,,Id,Lightning Out アプリケーションホストページ ID,Lightning Out アプリケーションホストページ ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,LightningOutAppHost.IsDeleted,IsDeleted,LightningOutAppHost,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,LightningOutAppHost.Language,Language,LightningOutAppHost,,Language,マスター言語,マスター言語,選択リスト,false,true,false,true,true,true
000000000000000AAA,LightningOutAppHost.LastModifiedBy,LastModifiedById,LightningOutAppHost,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,LightningOutAppHost.LastModifiedDate,LastModifiedDate,LightningOutAppHost,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,LightningOutAppHost.MasterLabel,MasterLabel,LightningOutAppHost,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,LightningOutAppHost.SobjectType,LightningOutAppId,LightningOutAppHost,,SobjectType,Lightning Out アプリケーション,Lightning Out アプリケーション,参照関係(Lightning Out アプリケーション),false,false,true,true,true,true
000000000000000AAA,LightningOutAppHost.SystemModstamp,SystemModstamp,LightningOutAppHost,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
