Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,LightningUsageByPageMetrics.CoresBin2To4,CoresBin2To4,LightningUsageByPageMetrics,,CoresBin2To4,CoresBin2To4,CoresBin2To4,数値(9、0),false,true,false,true,true,true
000000000000000AAA,LightningUsageByPageMetrics.CoresBin4To8,CoresBin4To8,LightningUsageByPageMetrics,,CoresBin4To8,CoresBin4To8,CoresBin4To8,数値(9、0),false,true,false,true,true,true
000000000000000AAA,LightningUsageByPageMetrics.CoresBinOver8,CoresBinOver8,LightningUsageByPageMetrics,,CoresBinOver8,CoresBinOver8,CoresBinOver8,数値(9、0),false,true,false,true,true,true
000000000000000AAA,LightningUsageByPageMetrics.CoresBinUnder2,CoresBinUnder2,LightningUsageByPageMetrics,,CoresBinUnder2,CoresBinUnder2,CoresBinUnder2,数値(9、0),false,true,false,true,true,true
000000000000000AAA,LightningUsageByPageMetrics.DownlinkBin3To5,DownlinkBin3To5,LightningUsageByPageMetrics,,DownlinkBin3To5,DownlinkBin3To5,DownlinkBin3To5,数値(9、0),false,true,false,true,true,true
000000000000000AAA,LightningUsageByPageMetrics.DownlinkBin5To8,DownlinkBin5To8,LightningUsageByPageMetrics,,DownlinkBin5To8,DownlinkBin5To8,DownlinkBin5To8,数値(9、0),false,true,false,true,true,true
000000000000000AAA,LightningUsageByPageMetrics.DownlinkBin8To10,DownlinkBin8To10,LightningUsageByPageMetrics,,DownlinkBin8To10,DownlinkBin8To10,DownlinkBin8To10,数値(9、0),false,true,false,true,true,true
000000000000000AAA,LightningUsageByPageMetrics.DownlinkBinOver10,DownlinkBinOver10,LightningUsageByPageMetrics,,DownlinkBinOver10,DownlinkBinOver10,DownlinkBinOver10,数値(9、0),false,true,false,true,true,true
000000000000000AAA,LightningUsageByPageMetrics.DownlinkBinUnder3,DownlinkBinUnder3,LightningUsageByPageMetrics,,DownlinkBinUnder3,DownlinkBinUnder3,DownlinkBinUnder3,数値(9、0),false,true,false,true,true,true
000000000000000AAA,LightningUsageByPageMetrics.EptBin3To5,EptBin3To5,LightningUsageByPageMetrics,,EptBin3To5,EptBin3To5,EptBin3To5,数値(9、0),false,true,false,true,true,true
000000000000000AAA,LightningUsageByPageMetrics.EptBin5To8,EptBin5To8,LightningUsageByPageMetrics,,EptBin5To8,EptBin5To8,EptBin5To8,数値(9、0),false,true,false,true,true,true
000000000000000AAA,LightningUsageByPageMetrics.EptBin8To10,EptBin8To10,LightningUsageByPageMetrics,,EptBin8To10,EptBin8To10,EptBin8To10,数値(9、0),false,true,false,true,true,true
000000000000000AAA,LightningUsageByPageMetrics.EptBinOver10,EptBinOver10,LightningUsageByPageMetrics,,EptBinOver10,EptBinOver10,EptBinOver10,数値(9、0),false,true,false,true,true,true
000000000000000AAA,LightningUsageByPageMetrics.EptBinUnder3,EptBinUnder3,LightningUsageByPageMetrics,,EptBinUnder3,EptBinUnder3,EptBinUnder3,数値(9、0),false,true,false,true,true,true
000000000000000AAA,LightningUsageByPageMetrics.FieldValue,PageName,LightningUsageByPageMetrics,,FieldValue,ページ名,ページ名,テキスト(40),false,true,false,true,true,true
000000000000000AAA,LightningUsageByPageMetrics.Id,Id,LightningUsageByPageMetrics,,Id,Lightning ページ別使用状況メトリクス ID,Lightning ページ別使用状況メトリクス ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,LightningUsageByPageMetrics.MetricsDate,MetricsDate,LightningUsageByPageMetrics,,MetricsDate,メトリクスの日付,メトリクスの日付,日付,false,false,true,true,true,true
000000000000000AAA,LightningUsageByPageMetrics.ParentEnumOrId,UserId,LightningUsageByPageMetrics,,ParentEnumOrId,ユーザー,ユーザー,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,LightningUsageByPageMetrics.RecordCountEPT,RecordCountEPT,LightningUsageByPageMetrics,,RecordCountEPT,EPT (レコード件数),EPT (レコード件数),数値(9、0),false,true,false,true,true,true
000000000000000AAA,LightningUsageByPageMetrics.RttBin50To150,RttBin50To150,LightningUsageByPageMetrics,,RttBin50To150,RttBin50To150,RttBin50To150,数値(9、0),false,true,false,true,true,true
000000000000000AAA,LightningUsageByPageMetrics.RttBinOver150,RttBinOver150,LightningUsageByPageMetrics,,RttBinOver150,RttBinOver150,RttBinOver150,数値(9、0),false,true,false,true,true,true
000000000000000AAA,LightningUsageByPageMetrics.RttBinUnder50,RttBinUnder50,LightningUsageByPageMetrics,,RttBinUnder50,RttBinUnder50,RttBinUnder50,数値(9、0),false,true,false,true,true,true
000000000000000AAA,LightningUsageByPageMetrics.SumEPT,SumEPT,LightningUsageByPageMetrics,,SumEPT,合計 EPT,合計 EPT,数値(9、0),false,true,false,true,true,true
000000000000000AAA,LightningUsageByPageMetrics.SystemModstamp,SystemModstamp,LightningUsageByPageMetrics,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,LightningUsageByPageMetrics.TotalCount,TotalCount,LightningUsageByPageMetrics,,TotalCount,合計件数,合計件数,数値(9、0),false,true,false,true,true,true
