Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,LinkedInLeadGenConfig.CreatedBy,CreatedById,LinkedInLeadGenConfig,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,LinkedInLeadGenConfig.CreatedDate,CreatedDate,LinkedInLeadGenConfig,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,LinkedInLeadGenConfig.DefaultLeadCreator,DefaultLeadCreatorId,LinkedInLeadGenConfig,,DefaultLeadCreator,デフォルトのリード作成者,デフォルトのリード作成者,参照関係(ユーザー),false,true,false,true,true,true
000000000000000AAA,LinkedInLeadGenConfig.DeveloperName,DeveloperName,LinkedInLeadGenConfig,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,LinkedInLeadGenConfig.Id,Id,LinkedInLeadGenConfig,,Id,LinkedIn リード生成設定 ID,LinkedIn リード生成設定 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,LinkedInLeadGenConfig.IsDeleted,IsDeleted,LinkedInLeadGenConfig,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,LinkedInLeadGenConfig.Language,Language,LinkedInLeadGenConfig,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,LinkedInLeadGenConfig.LastModifiedBy,LastModifiedById,LinkedInLeadGenConfig,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,LinkedInLeadGenConfig.LastModifiedDate,LastModifiedDate,LinkedInLeadGenConfig,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,LinkedInLeadGenConfig.LeadRecordType,LeadRecordTypeId,LinkedInLeadGenConfig,,LeadRecordType,リードレコードタイプ,リードレコードタイプ,参照関係(レコードタイプ),false,true,false,true,true,true
000000000000000AAA,LinkedInLeadGenConfig.LeadSourceDefault,LeadSourceDefault,LinkedInLeadGenConfig,,LeadSourceDefault,リードソース,リードソース,選択リスト,false,true,false,true,true,true
000000000000000AAA,LinkedInLeadGenConfig.MasterLabel,MasterLabel,LinkedInLeadGenConfig,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,LinkedInLeadGenConfig.ObjectMapping,ObjectMappingId,LinkedInLeadGenConfig,,ObjectMapping,オブジェクトの対応付け,オブジェクトの対応付け,参照関係(オブジェクトの対応付け)  (ユニーク),false,true,true,true,true,true
000000000000000AAA,LinkedInLeadGenConfig.SystemModstamp,SystemModstamp,LinkedInLeadGenConfig,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
