Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ListEmailIndividualRecipient.CreatedBy,CreatedById,ListEmailIndividualRecipient,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,ListEmailIndividualRecipient.CreatedDate,CreatedDate,ListEmailIndividualRecipient,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,ListEmailIndividualRecipient.Id,Id,ListEmailIndividualRecipient,,Id,List Email Individual Recipients ID,List Email Individual Recipients ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ListEmailIndividualRecipient.IsDeleted,IsDeleted,ListEmailIndividualRecipient,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ListEmailIndividualRecipient.LastModifiedBy,LastModifiedById,ListEmailIndividualRecipient,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ListEmailIndividualRecipient.LastModifiedDate,LastModifiedDate,ListEmailIndividualRecipient,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ListEmailIndividualRecipient.ListEmail,ListEmailId,ListEmailIndividualRecipient,,ListEmail,リストメール,リストメール,主従関係(リストメール),false,false,true,true,true,true
000000000000000AAA,ListEmailIndividualRecipient.Name,Name,ListEmailIndividualRecipient,,Name,Name,Name,自動採番,false,false,true,true,false,true
000000000000000AAA,ListEmailIndividualRecipient.Recipient,RecipientId,ListEmailIndividualRecipient,,Recipient,Recipient,Recipient,"参照関係(取引先責任者,リード,キャンペーンメンバー)",false,false,false,true,true,true
000000000000000AAA,ListEmailIndividualRecipient.RecordVisibility,RecordVisibilityId,ListEmailIndividualRecipient,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,ListEmailIndividualRecipient.SystemModstamp,SystemModstamp,ListEmailIndividualRecipient,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ListEmailIndividualRecipient.UserRecordAccess,UserRecordAccessId,ListEmailIndividualRecipient,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
