Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ListViewEvent.AppName,AppName,ListViewEvent,,AppName,アプリケーション名,アプリケーション名,テキスト(255),false,true,false,false,false,false
000000000000000AAA,ListViewEvent.ColumnHeaders,ColumnHeaders,ListViewEvent,,ColumnHeaders,列名,列名,テキスト(10000),false,true,false,false,false,false
000000000000000AAA,ListViewEvent.CreatedDate,CreatedDate,ListViewEvent,,CreatedDate,作成日,作成日,日付/時間,false,false,false,false,false,false
000000000000000AAA,ListViewEvent.DeveloperName,DeveloperName,ListViewEvent,,DeveloperName,API 参照名,API 参照名,テキスト(80),false,true,false,false,false,false
000000000000000AAA,ListViewEvent.EvaluationTime,EvaluationTime,ListViewEvent,,EvaluationTime,評価時間,評価時間,数値(18、0),false,true,false,false,false,false
000000000000000AAA,ListViewEvent.EventDate,EventDate,ListViewEvent,,EventDate,イベント日,イベント日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ListViewEvent.EventIdentifier,EventIdentifier,ListViewEvent,,EventIdentifier,イベント識別子,イベント識別子,テキスト(80),false,false,false,true,false,true
000000000000000AAA,ListViewEvent.EventSource,EventSource,ListViewEvent,,EventSource,イベントソース,イベントソース,選択リスト,false,true,false,false,false,false
000000000000000AAA,ListViewEvent.ExecutionIdentifier,ExecutionIdentifier,ListViewEvent,,ExecutionIdentifier,実行識別子,実行識別子,テキスト(80),false,true,false,false,false,false
000000000000000AAA,ListViewEvent.FilterCriteria,FilterCriteria,ListViewEvent,,FilterCriteria,検索条件,検索条件,テキスト(250000),false,true,false,false,false,false
000000000000000AAA,ListViewEvent.Id,Id,ListViewEvent,,Id,リストビューイベント ID,リストビューイベント ID,参照関係(),false,false,false,false,false,false
000000000000000AAA,ListViewEvent.ListView,ListViewId,ListViewEvent,,ListView,リストビュー,リストビュー,参照関係(リストビュー),false,true,false,false,false,false
000000000000000AAA,ListViewEvent.LoginHistory,LoginHistoryId,ListViewEvent,,LoginHistory,ログイン履歴,ログイン履歴,参照関係(ログイン履歴),false,true,false,false,false,false
000000000000000AAA,ListViewEvent.LoginKey,LoginKey,ListViewEvent,,LoginKey,ログインキー,ログインキー,テキスト(24),false,true,false,false,false,false
000000000000000AAA,ListViewEvent.Name,Name,ListViewEvent,,Name,名前,名前,テキスト(40),false,true,false,false,false,false
000000000000000AAA,ListViewEvent.NumberOfColumns,NumberOfColumns,ListViewEvent,,NumberOfColumns,列数,列数,数値(9、0),false,true,false,false,false,false
000000000000000AAA,ListViewEvent.OrderBy,OrderBy,ListViewEvent,,OrderBy,並び替えの基準,並び替えの基準,テキスト(255),false,true,false,false,false,false
000000000000000AAA,ListViewEvent.Owner,OwnerId,ListViewEvent,,Owner,所有者,所有者,"参照関係(ユーザー,組織)",false,true,false,false,false,false
000000000000000AAA,ListViewEvent.Policy,PolicyId,ListViewEvent,,Policy,ポリシー,ポリシー,参照関係(Transaction Security Policy),false,true,false,false,false,false
000000000000000AAA,ListViewEvent.PolicyOutcome,PolicyOutcome,ListViewEvent,,PolicyOutcome,ポリシーの結果,ポリシーの結果,選択リスト,false,true,false,false,false,false
000000000000000AAA,ListViewEvent.Profile,ProfileId,ListViewEvent,,Profile,プロファイル,プロファイル,参照関係(プロファイル),false,true,false,false,false,false
000000000000000AAA,ListViewEvent.QueriedEntities,QueriedEntities,ListViewEvent,,QueriedEntities,照会されるエンティティ,照会されるエンティティ,テキスト(1000),false,true,false,false,false,false
000000000000000AAA,ListViewEvent.Records,Records,ListViewEvent,,Records,レコード,レコード,テキスト(250000),false,true,false,false,false,false
000000000000000AAA,ListViewEvent.RelatedEventIdentifier,RelatedEventIdentifier,ListViewEvent,,RelatedEventIdentifier,関連イベント識別子,関連イベント識別子,テキスト(80),false,true,false,false,false,false
000000000000000AAA,ListViewEvent.Role,RoleId,ListViewEvent,,Role,ロール,ロール,参照関係(ロール),false,true,false,false,false,false
000000000000000AAA,ListViewEvent.RowsProcessed,RowsProcessed,ListViewEvent,,RowsProcessed,処理行,処理行,数値(18、0),false,true,false,false,false,false
000000000000000AAA,ListViewEvent.Scope,Scope,ListViewEvent,,Scope,範囲,範囲,テキスト(255),false,true,false,false,false,false
000000000000000AAA,ListViewEvent.Sequence,Sequence,ListViewEvent,,Sequence,順序,順序,数値(9、0),false,true,false,false,false,false
000000000000000AAA,ListViewEvent.SessionKey,SessionKey,ListViewEvent,,SessionKey,セッションキー,セッションキー,テキスト(24),false,true,false,false,false,false
000000000000000AAA,ListViewEvent.SessionLevel,SessionLevel,ListViewEvent,,SessionLevel,セッションレベル,セッションレベル,選択リスト,false,true,false,false,false,false
000000000000000AAA,ListViewEvent.SourceIp,SourceIp,ListViewEvent,,SourceIp,アクセス元 IP,アクセス元 IP,テキスト(255),false,true,false,false,false,false
000000000000000AAA,ListViewEvent.User,UserId,ListViewEvent,,User,ユーザー,ユーザー,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,ListViewEvent.Username,Username,ListViewEvent,,Username,ユーザー名,ユーザー名,テキスト(255),false,true,false,false,false,false
