Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,LocationGroupChangeEvent.ChangeEventHeader,ChangeEventHeader,LocationGroupChangeEvent,,ChangeEventHeader,変更イベントヘッダー,変更イベントヘッダー,複合値,false,false,false,false,false,false
000000000000000AAA,LocationGroupChangeEvent.CreatedBy,CreatedById,LocationGroupChangeEvent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,LocationGroupChangeEvent.CreatedDate,CreatedDate,LocationGroupChangeEvent,,CreatedDate,作成日,作成日,日付/時間,false,true,false,false,false,false
000000000000000AAA,LocationGroupChangeEvent.Description,Description,LocationGroupChangeEvent,,Description,説明,説明,ロングテキストエリア(2000),false,true,false,false,false,false
000000000000000AAA,LocationGroupChangeEvent.ExternalReference,ExternalReference,LocationGroupChangeEvent,,ExternalReference,外部参照,外部参照,テキスト(255),false,true,false,false,false,false
000000000000000AAA,LocationGroupChangeEvent.IsEnabled,IsEnabled,LocationGroupChangeEvent,,IsEnabled,有効,有効,チェックボックス,false,false,false,false,false,false
000000000000000AAA,LocationGroupChangeEvent.LastModifiedBy,LastModifiedById,LocationGroupChangeEvent,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,LocationGroupChangeEvent.LastModifiedDate,LastModifiedDate,LocationGroupChangeEvent,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,true,false,false,false,false
000000000000000AAA,LocationGroupChangeEvent.Name,LocationGroupName,LocationGroupChangeEvent,,Name,ロケーショングループ番号,ロケーショングループ番号,テキスト(255),false,true,false,false,false,false
000000000000000AAA,LocationGroupChangeEvent.Owner,OwnerId,LocationGroupChangeEvent,,Owner,所有者 氏名,所有者 氏名,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,LocationGroupChangeEvent.ShouldSyncWithOci,ShouldSyncWithOci,LocationGroupChangeEvent,,ShouldSyncWithOci,OCI と同期,OCI と同期,チェックボックス,false,false,false,false,false,false
