Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ManagedContentVariant.ContentTypeFullyQualifiedName,ContentTypeFullyQualifiedName,ManagedContentVariant,,ContentTypeFullyQualifiedName,コンテンツタイプ完全修飾名,コンテンツタイプ完全修飾名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ManagedContentVariant.CreatedBy,CreatedById,ManagedContentVariant,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,ManagedContentVariant.CreatedDate,CreatedDate,ManagedContentVariant,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,ManagedContentVariant.HasLocks,HasLocks,ManagedContentVariant,,HasLocks,更新のためにロックされています,更新のためにロックされています,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ManagedContentVariant.Id,Id,ManagedContentVariant,,Id,管理コンテンツバリエーション ID,管理コンテンツバリエーション ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ManagedContentVariant.IsDeleted,IsDeleted,ManagedContentVariant,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ManagedContentVariant.IsPrimary,IsPrimary,ManagedContentVariant,,IsPrimary,プライマリバリエーション,プライマリバリエーション,数式 (チェックボックス),true,false,false,true,true,true
000000000000000AAA,ManagedContentVariant.IsPublished,IsPublished,ManagedContentVariant,,IsPublished,公開済み,公開済み,数式 (チェックボックス),true,false,false,true,true,true
000000000000000AAA,ManagedContentVariant.IsReady,IsReady,ManagedContentVariant,,IsReady,公開準備完了,公開準備完了,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ManagedContentVariant.Language,Language,ManagedContentVariant,,Language,言語,言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,ManagedContentVariant.LastModifiedBy,LastModifiedById,ManagedContentVariant,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ManagedContentVariant.LastModifiedDate,LastModifiedDate,ManagedContentVariant,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ManagedContentVariant.ManagedContent,ManagedContentId,ManagedContentVariant,,ManagedContent,管理コンテンツ,管理コンテンツ,参照関係(管理コンテンツ),false,false,true,true,true,true
000000000000000AAA,ManagedContentVariant.ManagedContentKey,ManagedContentKey,ManagedContentVariant,,ManagedContentKey,コンテンツキー,コンテンツキー,テキスト(80),false,false,true,true,true,true
000000000000000AAA,ManagedContentVariant.ManagedContentVariantStatus,ManagedContentVariantStatus,ManagedContentVariant,,ManagedContentVariantStatus,状況,状況,選択リスト,false,false,false,true,true,true
000000000000000AAA,ManagedContentVariant.Name,Name,ManagedContentVariant,,Name,タイトル,タイトル,テキスト(255),false,false,true,true,true,true
000000000000000AAA,ManagedContentVariant.RecordVisibility,RecordVisibilityId,ManagedContentVariant,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,ManagedContentVariant.SystemModstamp,SystemModstamp,ManagedContentVariant,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ManagedContentVariant.UrlName,UrlName,ManagedContentVariant,,UrlName,コンテンツスラッグ,コンテンツスラッグ,テキスト(80),false,true,false,true,true,true
000000000000000AAA,ManagedContentVariant.UserRecordAccess,UserRecordAccessId,ManagedContentVariant,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
000000000000000AAA,ManagedContentVariant.VariantType,VariantType,ManagedContentVariant,,VariantType,バリエーション種別,バリエーション種別,選択リスト,false,false,false,true,true,true
