Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,MarketSegmentDefinition.AdditionalMetadata,AdditionalMetadata,MarketSegmentDefinition,,AdditionalMetadata,追加メタデータのキーと値のペア,追加メタデータのキーと値のペア,ロングテキストエリア(32000),false,true,false,false,false,false
000000000000000AAA,MarketSegmentDefinition.AdditionalMetadataInfo,AdditionalMetadataInfo,MarketSegmentDefinition,,AdditionalMetadataInfo,追加メタデータ情報,追加メタデータ情報,ロングテキストエリア(32000),false,true,false,false,false,false
000000000000000AAA,MarketSegmentDefinition.CreatedBy,CreatedById,MarketSegmentDefinition,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,MarketSegmentDefinition.CreatedDate,CreatedDate,MarketSegmentDefinition,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,MarketSegmentDefinition.DataGraphDefinition,DataGraphDefinitionId,MarketSegmentDefinition,,DataGraphDefinition,データグラフ定義,データグラフ定義,参照関係(データグラフ定義),false,true,false,true,true,true
000000000000000AAA,MarketSegmentDefinition.Description,Description,MarketSegmentDefinition,,Description,説明,説明,テキストエリア(255),false,true,false,true,true,true
000000000000000AAA,MarketSegmentDefinition.DeveloperName,DeveloperName,MarketSegmentDefinition,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,MarketSegmentDefinition.ExcludeCriteria,ExcludeCriteria,MarketSegmentDefinition,,ExcludeCriteria,除外条件,除外条件,ロングテキストエリア(100000),false,true,false,false,false,false
000000000000000AAA,MarketSegmentDefinition.GroupSortLimitFilterCriteria,GroupSortLimitFilterCriteria,MarketSegmentDefinition,,GroupSortLimitFilterCriteria,グループ並べ替え制限検索条件,グループ並べ替え制限検索条件,ロングテキストエリア(100000),false,true,false,false,false,false
000000000000000AAA,MarketSegmentDefinition.Id,Id,MarketSegmentDefinition,,Id,マーケットセグメント定義 ID,マーケットセグメント定義 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,MarketSegmentDefinition.IncludeCriteria,IncludeCriteria,MarketSegmentDefinition,,IncludeCriteria,包含条件,包含条件,ロングテキストエリア(100000),false,true,false,false,false,false
000000000000000AAA,MarketSegmentDefinition.IsCurrentSaveApproxCount,IsCurrentSaveApproxCount,MarketSegmentDefinition,,IsCurrentSaveApproxCount,現在の数の概算,現在の数の概算,チェックボックス,false,false,false,true,true,true
000000000000000AAA,MarketSegmentDefinition.IsDeleted,IsDeleted,MarketSegmentDefinition,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
