Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,MessagingSession.AcceptTime,AcceptTime,MessagingSession,,AcceptTime,承諾時間,承諾時間,日付/時間,false,true,false,true,false,true
000000000000000AAA,MessagingSession.AgentMessageCount,AgentMessageCount,MessagingSession,,AgentMessageCount,エージェントメッセージ数,エージェントメッセージ数,数値(9、0),false,true,false,false,false,false
000000000000000AAA,MessagingSession.AgentType,AgentType,MessagingSession,,AgentType,エージェント種別,エージェント種別,選択リスト,false,true,false,true,true,true
000000000000000AAA,MessagingSession.Campaign,CampaignId,MessagingSession,,Campaign,キャンペーン,キャンペーン,参照関係(キャンペーン),false,true,false,true,true,true
000000000000000AAA,MessagingSession.Case,CaseId,MessagingSession,,Case,ケース,ケース,参照関係(ケース),false,true,false,true,true,true
000000000000000AAA,MessagingSession.ChannelEndUserFormula,ChannelEndUserFormula,MessagingSession,,ChannelEndUserFormula,連結されたメッセージングチャネルとメッセージングユーザー,連結されたメッセージングチャネルとメッセージングユーザー,数式 (テキスト),true,true,true,true,true,true
000000000000000AAA,MessagingSession.ChannelGroup,ChannelGroup,MessagingSession,,ChannelGroup,グループ,グループ,テキスト(255),false,true,false,true,true,true
000000000000000AAA,MessagingSession.ChannelIntent,ChannelIntent,MessagingSession,,ChannelIntent,インテント,インテント,テキスト(255),false,true,false,true,true,true
000000000000000AAA,MessagingSession.ChannelKey,ChannelKey,MessagingSession,,ChannelKey,チャネルキー,チャネルキー,テキスト(150),false,true,false,true,true,true
000000000000000AAA,MessagingSession.ChannelLocale,ChannelLocale,MessagingSession,,ChannelLocale,地域,地域,テキスト(255),false,true,false,true,true,true
000000000000000AAA,MessagingSession.ChannelName,ChannelName,MessagingSession,,ChannelName,チャネル名,チャネル名,テキスト(80),false,true,false,true,true,true
000000000000000AAA,MessagingSession.ChannelType,ChannelType,MessagingSession,,ChannelType,チャネル種別,チャネル種別,選択リスト,false,true,false,true,true,true
000000000000000AAA,MessagingSession.Conversation,ConversationId,MessagingSession,,Conversation,会話識別子,会話識別子,参照関係(会話),false,true,false,true,true,true
000000000000000AAA,MessagingSession.CreatedBy,CreatedById,MessagingSession,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
