Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,MessagingTemplate.CreatedBy,CreatedById,MessagingTemplate,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,MessagingTemplate.CreatedDate,CreatedDate,MessagingTemplate,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,MessagingTemplate.Description,Description,MessagingTemplate,,Description,説明,説明,ロングテキストエリア(4000),false,true,false,false,false,false
000000000000000AAA,MessagingTemplate.DeveloperName,DeveloperName,MessagingTemplate,,DeveloperName,API 参照名,API 参照名,テキスト(80),false,false,true,true,true,true
000000000000000AAA,MessagingTemplate.Id,Id,MessagingTemplate,,Id,メッセージングテンプレート ID,メッセージングテンプレート ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,MessagingTemplate.IsDeleted,IsDeleted,MessagingTemplate,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,MessagingTemplate.Language,Language,MessagingTemplate,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,MessagingTemplate.LastModifiedBy,LastModifiedById,MessagingTemplate,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,MessagingTemplate.LastModifiedDate,LastModifiedDate,MessagingTemplate,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,MessagingTemplate.MasterLabel,MasterLabel,MessagingTemplate,,MasterLabel,テンプレート名,テンプレート名,テキスト(80),false,false,false,true,true,true
000000000000000AAA,MessagingTemplate.Message,Message,MessagingTemplate,,Message,メッセージ,メッセージ,ロングテキストエリア(4000),false,false,false,false,false,false
000000000000000AAA,MessagingTemplate.SystemModstamp,SystemModstamp,MessagingTemplate,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
