Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,MilestoneCriteriaCondition.CreatedBy,CreatedById,MilestoneCriteriaCondition,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,MilestoneCriteriaCondition.CreatedDate,CreatedDate,MilestoneCriteriaCondition,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,MilestoneCriteriaCondition.Id,Id,MilestoneCriteriaCondition,,Id,マイルストーン検索条件項目 ID,マイルストーン検索条件項目 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,MilestoneCriteriaCondition.IsDeleted,IsDeleted,MilestoneCriteriaCondition,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,MilestoneCriteriaCondition.LastModifiedBy,LastModifiedById,MilestoneCriteriaCondition,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,MilestoneCriteriaCondition.LastModifiedDate,LastModifiedDate,MilestoneCriteriaCondition,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,MilestoneCriteriaCondition.MilestoneCriteria,MilestoneCriteriaId,MilestoneCriteriaCondition,,MilestoneCriteria,MilestoneCriteria,MilestoneCriteria,主従関係(マイルストーンの検索条件),false,false,true,true,true,true
000000000000000AAA,MilestoneCriteriaCondition.Operator,Operator,MilestoneCriteriaCondition,,Operator,演算子,演算子,選択リスト,false,false,false,true,true,true
000000000000000AAA,MilestoneCriteriaCondition.SortOrder,SortOrder,MilestoneCriteriaCondition,,SortOrder,並び替え順,並び替え順,数値(9、0),false,false,false,true,true,true
000000000000000AAA,MilestoneCriteriaCondition.SourceField,SourceField,MilestoneCriteriaCondition,,SourceField,ソース項目,ソース項目,テキスト(255),false,true,false,true,true,true
000000000000000AAA,MilestoneCriteriaCondition.SourceObject,SourceObject,MilestoneCriteriaCondition,,SourceObject,ソースオブジェクト,ソースオブジェクト,テキスト(255),false,true,false,true,true,true
000000000000000AAA,MilestoneCriteriaCondition.SystemModstamp,SystemModstamp,MilestoneCriteriaCondition,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,MilestoneCriteriaCondition.Value,Value,MilestoneCriteriaCondition,,Value,値,値,テキスト(255),false,true,false,true,true,true
