Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,MktDataConnectionParam.CreatedBy,CreatedById,MktDataConnectionParam,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,MktDataConnectionParam.CreatedDate,CreatedDate,MktDataConnectionParam,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,MktDataConnectionParam.DeveloperName,DeveloperName,MktDataConnectionParam,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,MktDataConnectionParam.FullName,FullName,MktDataConnectionParam,,FullName,データ接続パラメーター名,データ接続パラメーター名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,MktDataConnectionParam.Id,Id,MktDataConnectionParam,,Id,データ接続パラメーター ID,データ接続パラメーター ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,MktDataConnectionParam.IsDeleted,IsDeleted,MktDataConnectionParam,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,MktDataConnectionParam.Language,Language,MktDataConnectionParam,,Language,マスター言語,マスター言語,選択リスト,false,true,false,true,true,true
000000000000000AAA,MktDataConnectionParam.LastModifiedBy,LastModifiedById,MktDataConnectionParam,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,MktDataConnectionParam.LastModifiedDate,LastModifiedDate,MktDataConnectionParam,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,MktDataConnectionParam.ManageableState,ManageableState,MktDataConnectionParam,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,MktDataConnectionParam.MasterLabel,MasterLabel,MktDataConnectionParam,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,MktDataConnectionParam.Metadata,Metadata,MktDataConnectionParam,,Metadata,メタデータ,メタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,MktDataConnectionParam.MktDataConnection,MktDataConnectionId,MktDataConnectionParam,,MktDataConnection,データ接続,データ接続,参照関係(データ接続),false,false,true,true,true,true
000000000000000AAA,MktDataConnectionParam.NamespacePrefix,NamespacePrefix,MktDataConnectionParam,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,MktDataConnectionParam.ParamName,ParamName,MktDataConnectionParam,,ParamName,パラメーター名,パラメーター名,テキスト(255),false,false,false,true,true,true
000000000000000AAA,MktDataConnectionParam.SystemModstamp,SystemModstamp,MktDataConnectionParam,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,MktDataConnectionParam.Value,Value,MktDataConnectionParam,,Value,値,値,ロングテキストエリア(4096),false,false,false,false,false,false
