Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,MktDataConnectionSrcParam.CreatedBy,CreatedById,MktDataConnectionSrcParam,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,MktDataConnectionSrcParam.CreatedDate,CreatedDate,MktDataConnectionSrcParam,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,MktDataConnectionSrcParam.DeveloperName,DeveloperName,MktDataConnectionSrcParam,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,MktDataConnectionSrcParam.FullName,FullName,MktDataConnectionSrcParam,,FullName,データソースパラメーター名,データソースパラメーター名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,MktDataConnectionSrcParam.Id,Id,MktDataConnectionSrcParam,,Id,データソースパラメーター ID,データソースパラメーター ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,MktDataConnectionSrcParam.IsDeleted,IsDeleted,MktDataConnectionSrcParam,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,MktDataConnectionSrcParam.Language,Language,MktDataConnectionSrcParam,,Language,マスター言語,マスター言語,選択リスト,false,true,false,true,true,true
000000000000000AAA,MktDataConnectionSrcParam.LastModifiedBy,LastModifiedById,MktDataConnectionSrcParam,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,MktDataConnectionSrcParam.LastModifiedDate,LastModifiedDate,MktDataConnectionSrcParam,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,MktDataConnectionSrcParam.ManageableState,ManageableState,MktDataConnectionSrcParam,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,MktDataConnectionSrcParam.MasterLabel,MasterLabel,MktDataConnectionSrcParam,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,MktDataConnectionSrcParam.Metadata,Metadata,MktDataConnectionSrcParam,,Metadata,メタデータ,メタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,MktDataConnectionSrcParam.NamespacePrefix,NamespacePrefix,MktDataConnectionSrcParam,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,MktDataConnectionSrcParam.ParamName,ParamName,MktDataConnectionSrcParam,,ParamName,パラメーター名,パラメーター名,テキスト(255),false,false,false,true,true,true
000000000000000AAA,MktDataConnectionSrcParam.ReferenceObject,ReferenceObjectId,MktDataConnectionSrcParam,,ReferenceObject,データストリーム定義,データストリーム定義,参照関係(データストリーム定義),false,false,false,true,true,true
000000000000000AAA,MktDataConnectionSrcParam.SystemModstamp,SystemModstamp,MktDataConnectionSrcParam,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,MktDataConnectionSrcParam.Value,Value,MktDataConnectionSrcParam,,Value,値,値,ロングテキストエリア(4096),false,false,false,true,false,false
