Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,MktDataTranObject.CreatedBy,CreatedById,MktDataTranObject,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,MktDataTranObject.CreatedDate,CreatedDate,MktDataTranObject,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,MktDataTranObject.CreationType,CreationType,MktDataTranObject,,CreationType,作成種別,作成種別,選択リスト,false,false,false,true,true,true
000000000000000AAA,MktDataTranObject.DataConnector,DataConnectorId,MktDataTranObject,,DataConnector,データコネクタ,データコネクタ,"参照関係(外部データコネクタ,内部データコネクタ,データ接続)",false,true,false,true,true,true
000000000000000AAA,MktDataTranObject.DataSource,DataSourceId,MktDataTranObject,,DataSource,データソース,データソース,参照関係(データソース),false,false,true,true,true,true
000000000000000AAA,MktDataTranObject.DataSourceObject,DataSourceObjectId,MktDataTranObject,,DataSourceObject,データソースオブジェクト,データソースオブジェクト,参照関係(データソースオブジェクト),false,true,false,true,true,true
000000000000000AAA,MktDataTranObject.DeveloperName,DeveloperName,MktDataTranObject,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,MktDataTranObject.ExternalDatabaseName,ExternalDatabaseName,MktDataTranObject,,ExternalDatabaseName,外部データベース名,外部データベース名,ロングテキストエリア(1024),false,true,false,false,false,false
000000000000000AAA,MktDataTranObject.ExternalName,ExternalName,MktDataTranObject,,ExternalName,外部名,外部名,ロングテキストエリア(1024),false,true,false,false,false,false
000000000000000AAA,MktDataTranObject.ExternalSchemaName,ExternalSchemaName,MktDataTranObject,,ExternalSchemaName,外部スキーマ名,外部スキーマ名,ロングテキストエリア(1024),false,true,false,false,false,false
000000000000000AAA,MktDataTranObject.FullName,FullName,MktDataTranObject,,FullName,データトランスポートオブジェクト名,データトランスポートオブジェクト名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,MktDataTranObject.Id,Id,MktDataTranObject,,Id,データトランスポートオブジェクト ID,データトランスポートオブジェクト ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,MktDataTranObject.IsDeleted,IsDeleted,MktDataTranObject,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,MktDataTranObject.IsEnabled,IsEnabled,MktDataTranObject,,IsEnabled,有効,有効,チェックボックス,false,false,false,true,true,true
000000000000000AAA,MktDataTranObject.JsonSchemaObjectName,JsonSchemaObjectName,MktDataTranObject,,JsonSchemaObjectName,JSON スキーマオブジェクト名,JSON スキーマオブジェクト名,ロングテキストエリア(1024),false,true,false,false,false,false
000000000000000AAA,MktDataTranObject.Language,Language,MktDataTranObject,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,MktDataTranObject.LastModifiedBy,LastModifiedById,MktDataTranObject,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,MktDataTranObject.LastModifiedDate,LastModifiedDate,MktDataTranObject,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,MktDataTranObject.ManageableState,ManageableState,MktDataTranObject,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,MktDataTranObject.MasterLabel,MasterLabel,MktDataTranObject,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,MktDataTranObject.Metadata,Metadata,MktDataTranObject,,Metadata,メタデータ,メタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,MktDataTranObject.NamespacePrefix,NamespacePrefix,MktDataTranObject,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,MktDataTranObject.ObjectCategory,ObjectCategoryId,MktDataTranObject,,ObjectCategory,オブジェクトカテゴリ,オブジェクトカテゴリ,参照関係(データオブジェクトカテゴリ),false,false,false,true,true,true
000000000000000AAA,MktDataTranObject.ParentObjectJsonFieldName,ParentObjectJsonFieldName,MktDataTranObject,,ParentObjectJsonFieldName,親オブジェクト JSON 項目名,親オブジェクト JSON 項目名,ロングテキストエリア(1024),false,true,false,false,false,false
000000000000000AAA,MktDataTranObject.Status,Status,MktDataTranObject,,Status,状況,状況,選択リスト,false,false,false,true,true,true
000000000000000AAA,MktDataTranObject.SystemModstamp,SystemModstamp,MktDataTranObject,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
