Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,MktMLPredictionJob.ActivationStatus,ActivationStatus,MktMLPredictionJob,,ActivationStatus,有効化状況,有効化状況,選択リスト,false,true,false,true,true,true
000000000000000AAA,MktMLPredictionJob.CreatedBy,CreatedById,MktMLPredictionJob,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,MktMLPredictionJob.CreatedDate,CreatedDate,MktMLPredictionJob,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,MktMLPredictionJob.Duration,Duration,MktMLPredictionJob,,Duration,期間,期間,数値(18、0),false,true,false,true,true,true
000000000000000AAA,MktMLPredictionJob.Id,Id,MktMLPredictionJob,,Id,予測ジョブ ID,予測ジョブ ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,MktMLPredictionJob.IsDeleted,IsDeleted,MktMLPredictionJob,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,MktMLPredictionJob.LastModifiedBy,LastModifiedById,MktMLPredictionJob,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,MktMLPredictionJob.LastModifiedDate,LastModifiedDate,MktMLPredictionJob,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,MktMLPredictionJob.LastProcessedRecords,LastProcessedRecords,MktMLPredictionJob,,LastProcessedRecords,最終処理レコード,最終処理レコード,数値(18、0),false,true,false,true,true,true
000000000000000AAA,MktMLPredictionJob.LastReferencedDate,LastReferencedDate,MktMLPredictionJob,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,MktMLPredictionJob.LastRunDate,LastRunDate,MktMLPredictionJob,,LastRunDate,最終実行日,最終実行日,日付/時間,false,true,false,true,false,true
000000000000000AAA,MktMLPredictionJob.LastRunStatus,LastRunStatus,MktMLPredictionJob,,LastRunStatus,最終実行状況,最終実行状況,選択リスト,false,true,false,true,true,true
000000000000000AAA,MktMLPredictionJob.LastViewedDate,LastViewedDate,MktMLPredictionJob,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,MktMLPredictionJob.Name,Name,MktMLPredictionJob,,Name,予測ジョブ名,予測ジョブ名,テキスト(255),false,false,true,true,true,true
000000000000000AAA,MktMLPredictionJob.OffCoreSyncStatus,OffCoreSyncStatus,MktMLPredictionJob,,OffCoreSyncStatus,オフコア同期状況,オフコア同期状況,選択リスト,false,true,false,true,true,true
000000000000000AAA,MktMLPredictionJob.PredictionJobDef,PredictionJobDefId,MktMLPredictionJob,,PredictionJobDef,予測ジョブ定義,予測ジョブ定義,参照関係(モデルの予測ジョブ定義),false,false,true,true,true,true
000000000000000AAA,MktMLPredictionJob.RecordVisibility,RecordVisibilityId,MktMLPredictionJob,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,MktMLPredictionJob.ScoreUpdated,ScoreUpdated,MktMLPredictionJob,,ScoreUpdated,スコアが更新されました,スコアが更新されました,数値(18、0),false,true,false,true,true,true
000000000000000AAA,MktMLPredictionJob.SystemModstamp,SystemModstamp,MktMLPredictionJob,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,MktMLPredictionJob.UserRecordAccess,UserRecordAccessId,MktMLPredictionJob,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
