Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,MobileSettings.DashboardMobile,DashboardMobileId,MobileSettings,,DashboardMobile,__MISSING LABEL__ PropertyFile - val DashboardMobile not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val DashboardMobile not found in section udd_SettingsTemplate,外部参照,false,true,false,true,true,true
000000000000000AAA,MobileSettings.ExternalId,DurableId,MobileSettings,,ExternalId,設定テンプレート外部 ID,設定テンプレート外部 ID,外部参照,false,true,false,true,true,true
000000000000000AAA,MobileSettings.FullName,FullName,MobileSettings,,FullName,氏名,氏名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,MobileSettings.Id,Id,MobileSettings,,Id,設定テンプレート ID,設定テンプレート ID,参照関係(),false,false,false,true,true,true
000000000000000AAA,MobileSettings.IsImportContactFromDeviceEnabled,IsImportContactFromDeviceEnabled,MobileSettings,,IsImportContactFromDeviceEnabled,__MISSING LABEL__ PropertyFile - val IsImportContactFromDeviceEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsImportContactFromDeviceEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,MobileSettings.IsOfflineDraftsEnabledEnabled,IsOfflineDraftsEnabledEnabled,MobileSettings,,IsOfflineDraftsEnabledEnabled,__MISSING LABEL__ PropertyFile - val IsOfflineDraftsEnabledEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsOfflineDraftsEnabledEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,MobileSettings.IsPopulateNameManuallyInTodayEnabled,IsPopulateNameManuallyInTodayEnabled,MobileSettings,,IsPopulateNameManuallyInTodayEnabled,__MISSING LABEL__ PropertyFile - val IsPopulateNameManuallyInTodayEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsPopulateNameManuallyInTodayEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,MobileSettings.IsS1EncryptedStoragePref2Enabled,IsS1EncryptedStoragePref2Enabled,MobileSettings,,IsS1EncryptedStoragePref2Enabled,__MISSING LABEL__ PropertyFile - val IsS1EncryptedStoragePref2Enabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsS1EncryptedStoragePref2Enabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,MobileSettings.IsS1OfflinePrefEnabled,IsS1OfflinePrefEnabled,MobileSettings,,IsS1OfflinePrefEnabled,__MISSING LABEL__ PropertyFile - val IsS1OfflinePrefEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsS1OfflinePrefEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,MobileSettings.Metadata,Metadata,MobileSettings,,Metadata,メタデータ,メタデータ,複合値,false,true,false,false,false,false
