Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,OrderOwnerSharingRule.CreatedBy,CreatedById,OrderOwnerSharingRule,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,OrderOwnerSharingRule.CreatedDate,CreatedDate,OrderOwnerSharingRule,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,OrderOwnerSharingRule.Description,Description,OrderOwnerSharingRule,,Description,説明,説明,テキストエリア(1000),false,true,false,true,false,true
000000000000000AAA,OrderOwnerSharingRule.DeveloperName,DeveloperName,OrderOwnerSharingRule,,DeveloperName,API 参照名,API 参照名,テキスト(80),false,true,false,true,true,true
000000000000000AAA,OrderOwnerSharingRule.Group,GroupId,OrderOwnerSharingRule,,Group,グループ,グループ,参照関係(グループ),false,false,true,true,true,true
000000000000000AAA,OrderOwnerSharingRule.Id,Id,OrderOwnerSharingRule,,Id,注文所有者共有ルール ID,注文所有者共有ルール ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,OrderOwnerSharingRule.LastModifiedBy,LastModifiedById,OrderOwnerSharingRule,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,OrderOwnerSharingRule.LastModifiedDate,LastModifiedDate,OrderOwnerSharingRule,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,OrderOwnerSharingRule.Name,Name,OrderOwnerSharingRule,,Name,名前,名前,テキスト(80),false,false,false,true,true,true
000000000000000AAA,OrderOwnerSharingRule.Options,Options,OrderOwnerSharingRule,,Options,__MISSING LABEL__ PropertyFile - val Options not found in section udd_OrderOwnerSharingRule,__MISSING LABEL__ PropertyFile - val Options not found in section udd_OrderOwnerSharingRule,ビットベクター,false,false,false,true,false,false
000000000000000AAA,OrderOwnerSharingRule.OrderAccessLevel,OrderAccessLevel,OrderOwnerSharingRule,,OrderAccessLevel,注文のアクセスレベル,注文のアクセスレベル,選択リスト,false,false,false,true,true,true
000000000000000AAA,OrderOwnerSharingRule.SystemModstamp,SystemModstamp,OrderOwnerSharingRule,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,OrderOwnerSharingRule.UserOrGroup,UserOrGroupId,OrderOwnerSharingRule,,UserOrGroup,ユーザー/グループ,ユーザー/グループ,参照関係(グループ),false,false,true,true,true,true
