Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,OutgoingEmail.BccAddress,BccAddress,OutgoingEmail,,BccAddress,BCC,BCC,テキスト(4000),false,true,false,false,false,false
000000000000000AAA,OutgoingEmail.CcAddress,CcAddress,OutgoingEmail,,CcAddress,CC,CC,テキスト(4000),false,true,false,false,false,false
000000000000000AAA,OutgoingEmail.EmailTemplate,EmailTemplateId,OutgoingEmail,,EmailTemplate,メールテンプレート,メールテンプレート,参照関係(メールテンプレート),false,true,false,false,true,false
000000000000000AAA,OutgoingEmail.ExternalId,ExternalId,OutgoingEmail,,ExternalId,外部 ID,外部 ID,外部参照,false,true,false,true,true,true
000000000000000AAA,OutgoingEmail.HtmlBody,HtmlBody,OutgoingEmail,,HtmlBody,HTML 内容,HTML 内容,ロングテキストエリア(128000),false,true,false,false,false,false
000000000000000AAA,OutgoingEmail.Id,Id,OutgoingEmail,,Id,送信メール ID,送信メール ID,参照関係(),false,false,false,true,true,true
000000000000000AAA,OutgoingEmail.InReplyTo,InReplyTo,OutgoingEmail,,InReplyTo,返信先,返信先,テキスト(4000),false,true,false,false,false,false
000000000000000AAA,OutgoingEmail.MessageId,MessageId,OutgoingEmail,,MessageId,メッセージ ID,メッセージ ID,テキスト(4000),false,true,false,false,false,false
000000000000000AAA,OutgoingEmail.References,References,OutgoingEmail,,References,参考資料,参考資料,テキスト(4000),false,true,false,false,false,false
000000000000000AAA,OutgoingEmail.RelatedTo,RelatedToId,OutgoingEmail,,RelatedTo,関連先,関連先,"参照関係(契約,注文,キャンペーン,取引先,商談,商品,納入商品,ソリューション,作業指示,作業指示品目,サービス予定,サービスリソース,割り当て済みリソース,リソースの不在,エンタイトルメント,サービス契約,契約品目名,ロケーション,出荷,納入商品リレーション,返品注文,返品注文品目,問い合わせ要求,画像,カタログ,履行注文,請求書,プロモーション,シフト,クレジットメモ,コミュニケーション登録の同意,法人,関係者の同意,作業プラン,作業プランテンプレート,作業プランテンプレートエントリ,作業ステップ,作業ステップテンプレート,順番待ちにあるグループ,業務時間休日,プロセス例外,クーポン,プロモーションマーケットセグメント,プロモーション修飾子,プロモーションセグメント,プロモーションセグメントバイヤーグループ,プロモーションセグメント販売店,プロモーション対象,出荷項目,変更要求,障害,問題,予定招待,Web Cart Documents,プロモーションランク,予定カテゴリ,待機リスト,待機リスト参加者,プライバシーに関する RTBF 要求,クエリエディター,提出した承認申請,承認作業項目,配送見積設定,ロケーション配送業者方法,リベート支払スナップショット,配送業者,配送業者方法,提出した承認申請の詳細,環境,活動履歴,要求情報)",false,true,false,false,true,false
000000000000000AAA,OutgoingEmail.Subject,Subject,OutgoingEmail,,Subject,件名,件名,テキスト(3000),false,true,false,false,false,false
000000000000000AAA,OutgoingEmail.TextBody,TextBody,OutgoingEmail,,TextBody,テキスト内容,テキスト内容,ロングテキストエリア(128000),false,true,false,false,false,false
000000000000000AAA,OutgoingEmail.ToAddress,ToAddress,OutgoingEmail,,ToAddress,送信先,送信先,テキスト(4000),false,true,false,false,false,false
000000000000000AAA,OutgoingEmail.ValidatedFromAddress,ValidatedFromAddress,OutgoingEmail,,ValidatedFromAddress,送信者,送信者,選択リスト,false,true,false,false,true,false
000000000000000AAA,OutgoingEmail.Who,WhoId,OutgoingEmail,,Who,主担当,主担当,"参照関係(取引先責任者,リード)",false,true,false,false,true,false
