Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,PackageInstallRequest.ApexCompileType,ApexCompileType,PackageInstallRequest,,ApexCompileType,Apex コンパイルタイプ,Apex コンパイルタイプ,テキスト(15),false,true,false,true,true,true
000000000000000AAA,PackageInstallRequest.CreatedBy,CreatedById,PackageInstallRequest,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,PackageInstallRequest.CreatedDate,CreatedDate,PackageInstallRequest,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,PackageInstallRequest.EnableRss,EnableRss,PackageInstallRequest,,EnableRss,RSS を有効化,RSS を有効化,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PackageInstallRequest.Errors,Errors,PackageInstallRequest,,Errors,エラー,エラー,複合値,false,true,false,false,false,false
000000000000000AAA,PackageInstallRequest.Id,Id,PackageInstallRequest,,Id,登録者パッケージインストール要求 ID,登録者パッケージインストール要求 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,PackageInstallRequest.IsDeleted,IsDeleted,PackageInstallRequest,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PackageInstallRequest.LastModifiedBy,LastModifiedById,PackageInstallRequest,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,PackageInstallRequest.LastModifiedDate,LastModifiedDate,PackageInstallRequest,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,PackageInstallRequest.MetadataDeployRequest,MetadataDeployRequestId,PackageInstallRequest,,MetadataDeployRequest,Deploy Request,Deploy Request,参照関係(Deploy Request)  (ユニーク),false,false,true,true,true,true
000000000000000AAA,PackageInstallRequest.NameConflictResolution,NameConflictResolution,PackageInstallRequest,,NameConflictResolution,名前競合解決,名前競合解決,選択リスト,false,false,false,true,true,true
000000000000000AAA,PackageInstallRequest.PackageInstallSource,PackageInstallSource,PackageInstallRequest,,PackageInstallSource,パッケージインストールソース,パッケージインストールソース,選択リスト,false,true,false,true,true,true
000000000000000AAA,PackageInstallRequest.Password,Password,PackageInstallRequest,,Password,パスワード,パスワード,テキスト(100),false,true,false,true,true,true
000000000000000AAA,PackageInstallRequest.ProfileMappings,ProfileMappings,PackageInstallRequest,,ProfileMappings,プロファイルマッピング,プロファイルマッピング,複合値,false,true,false,false,false,false
000000000000000AAA,PackageInstallRequest.SecurityType,SecurityType,PackageInstallRequest,,SecurityType,セキュリティ種別,セキュリティ種別,選択リスト,false,false,false,true,true,true
000000000000000AAA,PackageInstallRequest.SkipHandlers,SkipHandlers,PackageInstallRequest,,SkipHandlers,スキップハンドラー,スキップハンドラー,テキスト(255),false,true,false,true,true,true
000000000000000AAA,PackageInstallRequest.Status,Status,PackageInstallRequest,,Status,状況,状況,選択リスト,false,true,false,true,true,true
000000000000000AAA,PackageInstallRequest.SubscriberPackageVersionKey,SubscriberPackageVersionKey,PackageInstallRequest,,SubscriberPackageVersionKey,登録者パッケージバージョン ID,登録者パッケージバージョン ID,テキスト(18),false,false,false,true,true,true
000000000000000AAA,PackageInstallRequest.SystemModstamp,SystemModstamp,PackageInstallRequest,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,PackageInstallRequest.UpgradeType,UpgradeType,PackageInstallRequest,,UpgradeType,アップグレード種別,アップグレード種別,テキスト(15),false,true,false,true,true,true
