Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,PardotSettings.ExternalId,DurableId,PardotSettings,,ExternalId,設定テンプレート外部 ID,設定テンプレート外部 ID,外部参照,false,true,false,true,true,true
000000000000000AAA,PardotSettings.FullName,FullName,PardotSettings,,FullName,氏名,氏名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,PardotSettings.Id,Id,PardotSettings,,Id,設定テンプレート ID,設定テンプレート ID,参照関係(),false,false,false,true,true,true
000000000000000AAA,PardotSettings.IsAeDataConnectorEnabled,IsAeDataConnectorEnabled,PardotSettings,,IsAeDataConnectorEnabled,__MISSING LABEL__ PropertyFile - val IsAeDataConnectorEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsAeDataConnectorEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PardotSettings.IsAiEinsteinEngageFreqEnabled,IsAiEinsteinEngageFreqEnabled,PardotSettings,,IsAiEinsteinEngageFreqEnabled,__MISSING LABEL__ PropertyFile - val IsAiEinsteinEngageFreqEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsAiEinsteinEngageFreqEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PardotSettings.IsAiOptimizedSendTimeEnabled,IsAiOptimizedSendTimeEnabled,PardotSettings,,IsAiOptimizedSendTimeEnabled,__MISSING LABEL__ PropertyFile - val IsAiOptimizedSendTimeEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsAiOptimizedSendTimeEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PardotSettings.IsB2bmaAppEnabledEnabled,IsB2bmaAppEnabledEnabled,PardotSettings,,IsB2bmaAppEnabledEnabled,__MISSING LABEL__ PropertyFile - val IsB2bmaAppEnabledEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsB2bmaAppEnabledEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PardotSettings.IsEngagementHistoryDashboardsEnabled,IsEngagementHistoryDashboardsEnabled,PardotSettings,,IsEngagementHistoryDashboardsEnabled,__MISSING LABEL__ PropertyFile - val IsEngagementHistoryDashboardsEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsEngagementHistoryDashboardsEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PardotSettings.IsEnhancedProspectCustomFieldsSyncEnabled,IsEnhancedProspectCustomFieldsSyncEnabled,PardotSettings,,IsEnhancedProspectCustomFieldsSyncEnabled,__MISSING LABEL__ PropertyFile - val IsEnhancedProspectCustomFieldsSyncEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsEnhancedProspectCustomFieldsSyncEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PardotSettings.IsPardotAppV1EnabledEnabled,IsPardotAppV1EnabledEnabled,PardotSettings,,IsPardotAppV1EnabledEnabled,__MISSING LABEL__ PropertyFile - val IsPardotAppV1EnabledEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsPardotAppV1EnabledEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PardotSettings.IsPardotEnabledEnabled,IsPardotEnabledEnabled,PardotSettings,,IsPardotEnabledEnabled,__MISSING LABEL__ PropertyFile - val IsPardotEnabledEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsPardotEnabledEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PardotSettings.IsPardotObjectSyncEnabled,IsPardotObjectSyncEnabled,PardotSettings,,IsPardotObjectSyncEnabled,__MISSING LABEL__ PropertyFile - val IsPardotObjectSyncEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsPardotObjectSyncEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PardotSettings.IsProspectActivityDatasetEnabled,IsProspectActivityDatasetEnabled,PardotSettings,,IsProspectActivityDatasetEnabled,__MISSING LABEL__ PropertyFile - val IsProspectActivityDatasetEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsProspectActivityDatasetEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PardotSettings.IsUnifiedEngagementHistoryDashboardsEnabled,IsUnifiedEngagementHistoryDashboardsEnabled,PardotSettings,,IsUnifiedEngagementHistoryDashboardsEnabled,__MISSING LABEL__ PropertyFile - val IsUnifiedEngagementHistoryDashboardsEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsUnifiedEngagementHistoryDashboardsEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PardotSettings.Metadata,Metadata,PardotSettings,,Metadata,メタデータ,メタデータ,複合値,false,true,false,false,false,false
