Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,PartitionLevelScheme.CreatedBy,CreatedById,PartitionLevelScheme,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,PartitionLevelScheme.CreatedDate,CreatedDate,PartitionLevelScheme,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,PartitionLevelScheme.Description,Description,PartitionLevelScheme,,Description,説明,説明,ロングテキストエリア(32000),false,true,false,false,false,false
000000000000000AAA,PartitionLevelScheme.DeveloperName,DeveloperName,PartitionLevelScheme,,DeveloperName,API 参照名,API 参照名,テキスト(80),false,false,true,true,true,true
000000000000000AAA,PartitionLevelScheme.Id,Id,PartitionLevelScheme,,Id,Partition Level Schemes ID,Partition Level Schemes ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,PartitionLevelScheme.IsDeleted,IsDeleted,PartitionLevelScheme,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PartitionLevelScheme.Language,Language,PartitionLevelScheme,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,PartitionLevelScheme.LastModifiedBy,LastModifiedById,PartitionLevelScheme,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,PartitionLevelScheme.LastModifiedDate,LastModifiedDate,PartitionLevelScheme,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,PartitionLevelScheme.MasterLabel,MasterLabel,PartitionLevelScheme,,MasterLabel,マスター表示ラベル,マスター表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,PartitionLevelScheme.SystemModstamp,SystemModstamp,PartitionLevelScheme,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
