Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,PartyConsentHistory.CreatedBy,CreatedById,PartyConsentHistory,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,PartyConsentHistory.CreatedDate,CreatedDate,PartyConsentHistory,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,PartyConsentHistory.DataType,DataType,PartyConsentHistory,,DataType,データ型,データ型,選択リスト,false,true,false,true,true,true
000000000000000AAA,PartyConsentHistory.Field,Field,PartyConsentHistory,,Field,変更された項目,変更された項目,"選択リスト(カスタム項目の定義,カスタム項目データ列)",false,false,true,true,true,true
000000000000000AAA,PartyConsentHistory.Id,Id,PartyConsentHistory,,Id,関係者の同意の履歴 ID,関係者の同意の履歴 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,PartyConsentHistory.IsDeleted,IsDeleted,PartyConsentHistory,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PartyConsentHistory.NewvalDate,NewvalDate,PartyConsentHistory,,NewvalDate,新規の日付,新規の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,PartyConsentHistory.NewvalFirstName,NewvalFirstName,PartyConsentHistory,,NewvalFirstName,新規の名,新規の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,PartyConsentHistory.NewvalLastName,NewvalLastName,PartyConsentHistory,,NewvalLastName,新規の姓,新規の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,PartyConsentHistory.NewValue,NewValue,PartyConsentHistory,,NewValue,新しい値,新しい値,参照関係,false,true,false,false,false,true
000000000000000AAA,PartyConsentHistory.OldvalDate,OldvalDate,PartyConsentHistory,,OldvalDate,元の日付,元の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,PartyConsentHistory.OldvalFirstName,OldvalFirstName,PartyConsentHistory,,OldvalFirstName,元の名,元の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,PartyConsentHistory.OldvalLastName,OldvalLastName,PartyConsentHistory,,OldvalLastName,元の姓,元の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,PartyConsentHistory.OldValue,OldValue,PartyConsentHistory,,OldValue,元の値,元の値,参照関係,false,true,false,false,false,true
000000000000000AAA,PartyConsentHistory.PartyConsent,PartyConsentId,PartyConsentHistory,,PartyConsent,関係者の同意,関係者の同意,参照関係(関係者の同意),false,false,true,true,true,true
