Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,PathAssistant.CreatedBy,CreatedById,PathAssistant,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,PathAssistant.CreatedDate,CreatedDate,PathAssistant,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,PathAssistant.DeveloperName,DeveloperName,PathAssistant,,DeveloperName,API 参照名,API 参照名,テキスト(40),false,false,true,true,true,true
000000000000000AAA,PathAssistant.FullName,FullName,PathAssistant,,FullName,メタデータ API の完全名,メタデータ API の完全名,テキスト(80),false,true,false,false,true,false
000000000000000AAA,PathAssistant.Id,Id,PathAssistant,,Id,パスアシスタント ID,パスアシスタント ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,PathAssistant.IsActive,IsActive,PathAssistant,,IsActive,有効,有効,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PathAssistant.IsDeleted,IsDeleted,PathAssistant,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PathAssistant.IsMasterRecordType,IsMasterRecordType,PathAssistant,,IsMasterRecordType,マスターレコードタイプです,マスターレコードタイプです,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PathAssistant.Language,Language,PathAssistant,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,PathAssistant.LastModifiedBy,LastModifiedById,PathAssistant,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,PathAssistant.LastModifiedDate,LastModifiedDate,PathAssistant,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,PathAssistant.ManageableState,ManageableState,PathAssistant,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,PathAssistant.MasterLabel,MasterLabel,PathAssistant,,MasterLabel,表示ラベル,表示ラベル,テキスト(40),false,false,false,true,true,true
000000000000000AAA,PathAssistant.Metadata,Metadata,PathAssistant,,Metadata,パスアシスタントメタデータ,パスアシスタントメタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,PathAssistant.NamespacePrefix,NamespacePrefix,PathAssistant,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,PathAssistant.RecordType,RecordTypeId,PathAssistant,,RecordType,レコードタイプ,レコードタイプ,参照関係(レコードタイプ),false,true,false,true,true,true
000000000000000AAA,PathAssistant.SobjectProcessField,SobjectProcessField,PathAssistant,,SobjectProcessField,プロセス項目,プロセス項目,選択リスト(カスタム項目の定義),false,false,false,true,true,true
000000000000000AAA,PathAssistant.SobjectProcessFieldValue,SobjectProcessFieldValue,PathAssistant,,SobjectProcessFieldValue,プロセス項目,プロセス項目,テキスト(255),false,true,false,true,true,true
000000000000000AAA,PathAssistant.SobjectType,SobjectType,PathAssistant,,SobjectType,エンティティ名,エンティティ名,選択リスト(カスタムオブジェクトの定義),false,false,true,true,true,true
000000000000000AAA,PathAssistant.SobjectTypeValue,SobjectTypeValue,PathAssistant,,SobjectTypeValue,エンティティ名,エンティティ名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,PathAssistant.SystemModstamp,SystemModstamp,PathAssistant,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
