Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,PathAssistantStepInfo.CreatedBy,CreatedById,PathAssistantStepInfo,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,PathAssistantStepInfo.CreatedDate,CreatedDate,PathAssistantStepInfo,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,PathAssistantStepInfo.DeveloperName,DeveloperName,PathAssistantStepInfo,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,PathAssistantStepInfo.Id,Id,PathAssistantStepInfo,,Id,パスアシスタントステップ情報 ID,パスアシスタントステップ情報 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,PathAssistantStepInfo.Info,Info,PathAssistantStepInfo,,Info,情報,情報,リッチテキストエリア(1000),false,true,false,true,false,true
000000000000000AAA,PathAssistantStepInfo.IsDeleted,IsDeleted,PathAssistantStepInfo,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PathAssistantStepInfo.Language,Language,PathAssistantStepInfo,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,PathAssistantStepInfo.LastModifiedBy,LastModifiedById,PathAssistantStepInfo,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,PathAssistantStepInfo.LastModifiedDate,LastModifiedDate,PathAssistantStepInfo,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,PathAssistantStepInfo.MasterLabel,MasterLabel,PathAssistantStepInfo,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,PathAssistantStepInfo.SystemModstamp,SystemModstamp,PathAssistantStepInfo,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
