Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,PaymentGroup.CreatedBy,CreatedById,PaymentGroup,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,PaymentGroup.CreatedDate,CreatedDate,PaymentGroup,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,PaymentGroup.Id,Id,PaymentGroup,,Id,支払グループ ID,支払グループ ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,PaymentGroup.IsDeleted,IsDeleted,PaymentGroup,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,PaymentGroup.LastModifiedBy,LastModifiedById,PaymentGroup,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,PaymentGroup.LastModifiedDate,LastModifiedDate,PaymentGroup,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,PaymentGroup.Name,PaymentGroupNumber,PaymentGroup,,Name,支払グループ番号,支払グループ番号,自動採番,false,false,true,true,false,true
000000000000000AAA,PaymentGroup.RecordVisibility,RecordVisibilityId,PaymentGroup,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,PaymentGroup.SourceObject,SourceObjectId,PaymentGroup,,SourceObject,ソースオブジェクト,ソースオブジェクト,参照関係(注文),false,true,true,true,true,true
000000000000000AAA,PaymentGroup.SystemModstamp,SystemModstamp,PaymentGroup,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,PaymentGroup.UserRecordAccess,UserRecordAccessId,PaymentGroup,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
