Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AIFilterValue.CreatedBy,CreatedById,AIFilterValue,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AIFilterValue.CreatedDate,CreatedDate,AIFilterValue,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AIFilterValue.Filter,FilterId,AIFilterValue,,Filter,AI Filter,AI Filter,参照関係(AI Filter),false,true,false,true,true,true
000000000000000AAA,AIFilterValue.FilterGroup,FilterGroupId,AIFilterValue,,FilterGroup,AI Filter Group,AI Filter Group,主従関係(AI Filter Group),false,false,true,true,true,true
000000000000000AAA,AIFilterValue.Id,Id,AIFilterValue,,Id,AI Filter Value ID,AI Filter Value ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AIFilterValue.IsDeleted,IsDeleted,AIFilterValue,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AIFilterValue.LastModifiedBy,LastModifiedById,AIFilterValue,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AIFilterValue.LastModifiedDate,LastModifiedDate,AIFilterValue,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AIFilterValue.ManageableState,ManageableState,AIFilterValue,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,AIFilterValue.Side,Side,AIFilterValue,,Side,Side,Side,選択リスト,false,true,false,true,true,true
000000000000000AAA,AIFilterValue.SortOrder,SortOrder,AIFilterValue,,SortOrder,Sort Order,Sort Order,数値(9、0),false,true,false,true,true,true
000000000000000AAA,AIFilterValue.SystemModstamp,SystemModstamp,AIFilterValue,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,AIFilterValue.Type,Type,AIFilterValue,,Type,Type,Type,選択リスト,false,true,false,true,true,true
000000000000000AAA,AIFilterValue.Value,Value,AIFilterValue,,Value,Value,Value,テキスト(255),false,false,false,true,true,true
