Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AIPredictionDefinition.Application,ApplicationId,AIPredictionDefinition,,Application,AI アプリケーション,AI アプリケーション,主従関係(AI アプリケーション),false,false,true,true,true,true
000000000000000AAA,AIPredictionDefinition.CreatedBy,CreatedById,AIPredictionDefinition,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AIPredictionDefinition.CreatedDate,CreatedDate,AIPredictionDefinition,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AIPredictionDefinition.Description,Description,AIPredictionDefinition,,Description,予測定義名,予測定義名,テキスト(128),false,true,false,true,true,true
000000000000000AAA,AIPredictionDefinition.Id,Id,AIPredictionDefinition,,Id,AI 予測定義 ID,AI 予測定義 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AIPredictionDefinition.IsDeleted,IsDeleted,AIPredictionDefinition,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AIPredictionDefinition.LastModifiedBy,LastModifiedById,AIPredictionDefinition,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AIPredictionDefinition.LastModifiedDate,LastModifiedDate,AIPredictionDefinition,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AIPredictionDefinition.ManageableState,ManageableState,AIPredictionDefinition,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,AIPredictionDefinition.Status,Status,AIPredictionDefinition,,Status,予測状況,予測状況,選択リスト,false,false,false,true,true,true
000000000000000AAA,AIPredictionDefinition.SystemModstamp,SystemModstamp,AIPredictionDefinition,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,AIPredictionDefinition.Type,Type,AIPredictionDefinition,,Type,予測種別,予測種別,選択リスト,false,false,false,true,true,true
