Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AIPredictionExpression.CreatedBy,CreatedById,AIPredictionExpression,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AIPredictionExpression.CreatedDate,CreatedDate,AIPredictionExpression,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AIPredictionExpression.ExpressionFilterGroup,ExpressionFilterGroupId,AIPredictionExpression,,ExpressionFilterGroup,AI 条件グループ,AI 条件グループ,参照関係(AI Filter Group),false,true,false,true,true,true
000000000000000AAA,AIPredictionExpression.Id,Id,AIPredictionExpression,,Id,AI 予測式 ID,AI 予測式 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AIPredictionExpression.IsDeleted,IsDeleted,AIPredictionExpression,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AIPredictionExpression.LastModifiedBy,LastModifiedById,AIPredictionExpression,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AIPredictionExpression.LastModifiedDate,LastModifiedDate,AIPredictionExpression,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AIPredictionExpression.ManageableState,ManageableState,AIPredictionExpression,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,AIPredictionExpression.PredictionDefinition,PredictionDefinitionId,AIPredictionExpression,,PredictionDefinition,AI 予測定義,AI 予測定義,主従関係(AI 予測定義),false,false,true,true,true,true
000000000000000AAA,AIPredictionExpression.PredictionExpressionName,PredictionExpressionName,AIPredictionExpression,,PredictionExpressionName,名前,名前,テキスト(255),false,true,false,true,true,true
000000000000000AAA,AIPredictionExpression.PredictionTarget,PredictionTargetId,AIPredictionExpression,,PredictionTarget,対象エンティティ,対象エンティティ,参照関係(AI 予測ターゲット),false,true,false,true,true,true
000000000000000AAA,AIPredictionExpression.SystemModstamp,SystemModstamp,AIPredictionExpression,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
