Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ActivityRecurrence2ExceptionOwnerSharingRule.AccessLevel,AccessLevel,ActivityRecurrence2ExceptionOwnerSharingRule,,AccessLevel,カスタムオブジェクトのアクセス権,カスタムオブジェクトのアクセス権,選択リスト,false,false,false,true,true,true
000000000000000AAA,ActivityRecurrence2ExceptionOwnerSharingRule.CreatedBy,CreatedById,ActivityRecurrence2ExceptionOwnerSharingRule,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ActivityRecurrence2ExceptionOwnerSharingRule.CreatedDate,CreatedDate,ActivityRecurrence2ExceptionOwnerSharingRule,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ActivityRecurrence2ExceptionOwnerSharingRule.Description,Description,ActivityRecurrence2ExceptionOwnerSharingRule,,Description,説明,説明,テキストエリア(1000),false,true,false,true,false,true
000000000000000AAA,ActivityRecurrence2ExceptionOwnerSharingRule.DeveloperName,DeveloperName,ActivityRecurrence2ExceptionOwnerSharingRule,,DeveloperName,API 参照名,API 参照名,テキスト(80),false,true,false,true,true,true
000000000000000AAA,ActivityRecurrence2ExceptionOwnerSharingRule.Group,GroupId,ActivityRecurrence2ExceptionOwnerSharingRule,,Group,グループ,グループ,参照関係(グループ),false,false,true,true,true,true
000000000000000AAA,ActivityRecurrence2ExceptionOwnerSharingRule.Id,Id,ActivityRecurrence2ExceptionOwnerSharingRule,,Id,カスタムオブジェクト所有者ルール ID,カスタムオブジェクト所有者ルール ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ActivityRecurrence2ExceptionOwnerSharingRule.LastModifiedBy,LastModifiedById,ActivityRecurrence2ExceptionOwnerSharingRule,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ActivityRecurrence2ExceptionOwnerSharingRule.LastModifiedDate,LastModifiedDate,ActivityRecurrence2ExceptionOwnerSharingRule,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ActivityRecurrence2ExceptionOwnerSharingRule.Name,Name,ActivityRecurrence2ExceptionOwnerSharingRule,,Name,名前,名前,テキスト(80),false,false,false,true,true,true
000000000000000AAA,ActivityRecurrence2ExceptionOwnerSharingRule.Options,Options,ActivityRecurrence2ExceptionOwnerSharingRule,,Options,__MISSING LABEL__ PropertyFile - val Options not found in section udd_CustomObjectOwnerSharingRule,__MISSING LABEL__ PropertyFile - val Options not found in section udd_CustomObjectOwnerSharingRule,ビットベクター,false,false,false,true,false,false
000000000000000AAA,ActivityRecurrence2ExceptionOwnerSharingRule.SystemModstamp,SystemModstamp,ActivityRecurrence2ExceptionOwnerSharingRule,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ActivityRecurrence2ExceptionOwnerSharingRule.UserOrGroup,UserOrGroupId,ActivityRecurrence2ExceptionOwnerSharingRule,,UserOrGroup,ユーザー/グループ,ユーザー/グループ,参照関係(グループ),false,false,true,true,true,true
