Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ActvTgtPlatformFieldValue.ActivationTargetPlatform,ActivationTargetPlatformId,ActvTgtPlatformFieldValue,,ActivationTargetPlatform,有効化対象プラットフォーム項目値の有効化対象プラットフォーム,有効化対象プラットフォーム項目値の有効化対象プラットフォーム,参照関係(有効化対象プラットフォーム),false,false,false,true,true,true
000000000000000AAA,ActvTgtPlatformFieldValue.ActvPlatformFieldValue,ActvPlatformFieldValueId,ActvTgtPlatformFieldValue,,ActvPlatformFieldValue,有効化プラットフォーム項目値,有効化プラットフォーム項目値,参照関係(有効化プラットフォーム項目値),false,false,false,true,true,true
000000000000000AAA,ActvTgtPlatformFieldValue.CreatedBy,CreatedById,ActvTgtPlatformFieldValue,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,ActvTgtPlatformFieldValue.CreatedDate,CreatedDate,ActvTgtPlatformFieldValue,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,ActvTgtPlatformFieldValue.Id,Id,ActvTgtPlatformFieldValue,,Id,有効化対象プラットフォーム項目値 ID,有効化対象プラットフォーム項目値 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ActvTgtPlatformFieldValue.IsDeleted,IsDeleted,ActvTgtPlatformFieldValue,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ActvTgtPlatformFieldValue.LastModifiedBy,LastModifiedById,ActvTgtPlatformFieldValue,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ActvTgtPlatformFieldValue.LastModifiedDate,LastModifiedDate,ActvTgtPlatformFieldValue,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ActvTgtPlatformFieldValue.Name,Name,ActvTgtPlatformFieldValue,,Name,有効化対象プラットフォーム項目値名,有効化対象プラットフォーム項目値名,テキスト(255),false,false,true,true,true,true
000000000000000AAA,ActvTgtPlatformFieldValue.OverridenValue,OverridenValue,ActvTgtPlatformFieldValue,,OverridenValue,上書き値,上書き値,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ActvTgtPlatformFieldValue.Owner,OwnerId,ActvTgtPlatformFieldValue,,Owner,所有者 氏名,所有者 氏名,"参照関係(ユーザー,グループ)",false,false,true,true,true,true
000000000000000AAA,ActvTgtPlatformFieldValue.RecordVisibility,RecordVisibilityId,ActvTgtPlatformFieldValue,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,ActvTgtPlatformFieldValue.SystemModstamp,SystemModstamp,ActvTgtPlatformFieldValue,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ActvTgtPlatformFieldValue.UserRecordAccess,UserRecordAccessId,ActvTgtPlatformFieldValue,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
