Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AgentWork.AbandonedDateTime,AbandonedDateTime,AgentWork,,AbandonedDateTime,放棄された日時,放棄された日時,日付/時間,false,true,false,true,false,true
000000000000000AAA,AgentWork.AcceptDateTime,AcceptDateTime,AgentWork,,AcceptDateTime,受け入れ日,受け入れ日,日付/時間,false,true,true,true,false,true
000000000000000AAA,AgentWork.ActiveTime,ActiveTime,AgentWork,,ActiveTime,活動時間,活動時間,数値(9、0),false,true,false,true,true,true
000000000000000AAA,AgentWork.AcwExtensionCount,AcwExtensionCount,AgentWork,,AcwExtensionCount,会話後作業の延長回数,会話後作業の延長回数,数値(9、0),false,true,false,true,true,true
000000000000000AAA,AgentWork.AcwExtensionDuration,AcwExtensionDuration,AgentWork,,AcwExtensionDuration,会話後作業の延長時間,会話後作業の延長時間,数値(9、0),false,true,false,true,true,true
000000000000000AAA,AgentWork.AfterConversationActualTime,AfterConversationActualTime,AgentWork,,AfterConversationActualTime,会話後作業の実際の時間,会話後作業の実際の時間,数値(9、0),false,true,false,true,true,true
000000000000000AAA,AgentWork.AgentCapacityWhenDeclined,AgentCapacityWhenDeclined,AgentWork,,AgentCapacityWhenDeclined,拒否時のエージェント業務量,拒否時のエージェント業務量,数値(8、2),false,true,false,true,false,true
000000000000000AAA,AgentWork.AgentIntCapacityWhenDeclined,AgentIntCapacityWhenDeclined,AgentWork,,AgentIntCapacityWhenDeclined,拒否時のエージェントの中断可能な業務量,拒否時のエージェントの中断可能な業務量,数値(8、2),false,true,false,true,false,true
000000000000000AAA,AgentWork.AssignedDateTime,AssignedDateTime,AgentWork,,AssignedDateTime,割り当て日,割り当て日,数式 (日付/時間),true,true,false,true,false,true
000000000000000AAA,AgentWork.BotType,BotType,AgentWork,,BotType,ボット種別,ボット種別,選択リスト,false,true,false,true,true,true
