Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AiEvalCopilotTestCaseCntxtVar.AiEvalCopilotTestCase,AiEvalCopilotTestCaseId,AiEvalCopilotTestCaseCntxtVar,,AiEvalCopilotTestCase,AI Evaluation Copilot Test Cases,AI Evaluation Copilot Test Cases,主従関係(AI Evaluation Copilot Test Cases),false,false,true,true,true,true
000000000000000AAA,AiEvalCopilotTestCaseCntxtVar.CreatedBy,CreatedById,AiEvalCopilotTestCaseCntxtVar,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AiEvalCopilotTestCaseCntxtVar.CreatedDate,CreatedDate,AiEvalCopilotTestCaseCntxtVar,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AiEvalCopilotTestCaseCntxtVar.Id,Id,AiEvalCopilotTestCaseCntxtVar,,Id,AI Evaluation Copilot Test Case Context Variables ID,AI Evaluation Copilot Test Case Context Variables ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AiEvalCopilotTestCaseCntxtVar.IsDeleted,IsDeleted,AiEvalCopilotTestCaseCntxtVar,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AiEvalCopilotTestCaseCntxtVar.LastModifiedBy,LastModifiedById,AiEvalCopilotTestCaseCntxtVar,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AiEvalCopilotTestCaseCntxtVar.LastModifiedDate,LastModifiedDate,AiEvalCopilotTestCaseCntxtVar,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AiEvalCopilotTestCaseCntxtVar.SystemModstamp,SystemModstamp,AiEvalCopilotTestCaseCntxtVar,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,AiEvalCopilotTestCaseCntxtVar.VariableName,VariableName,AiEvalCopilotTestCaseCntxtVar,,VariableName,変数名,変数名,ロングテキストエリア(16384),false,true,false,false,false,false
000000000000000AAA,AiEvalCopilotTestCaseCntxtVar.VariableValue,VariableValue,AiEvalCopilotTestCaseCntxtVar,,VariableValue,変数値,変数値,ロングテキストエリア(16384),false,true,false,false,false,false
