Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AiEvalCopilotTestCaseConv.AiEvalCopilotTestCase,AiEvalCopilotTestCaseId,AiEvalCopilotTestCaseConv,,AiEvalCopilotTestCase,AI 評価 Copilot テストケース,AI 評価 Copilot テストケース,主従関係(AI 評価 Copilot テストケース),false,false,true,true,true,true
000000000000000AAA,AiEvalCopilotTestCaseConv.CreatedBy,CreatedById,AiEvalCopilotTestCaseConv,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AiEvalCopilotTestCaseConv.CreatedDate,CreatedDate,AiEvalCopilotTestCaseConv,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AiEvalCopilotTestCaseConv.Id,Id,AiEvalCopilotTestCaseConv,,Id,AI 評価 Copilot テストケース会話 ID,AI 評価 Copilot テストケース会話 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AiEvalCopilotTestCaseConv.Index,Index,AiEvalCopilotTestCaseConv,,Index,インデックス,インデックス,数値(9、0),false,true,false,true,true,true
000000000000000AAA,AiEvalCopilotTestCaseConv.IsDeleted,IsDeleted,AiEvalCopilotTestCaseConv,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AiEvalCopilotTestCaseConv.LastModifiedBy,LastModifiedById,AiEvalCopilotTestCaseConv,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AiEvalCopilotTestCaseConv.LastModifiedDate,LastModifiedDate,AiEvalCopilotTestCaseConv,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AiEvalCopilotTestCaseConv.Message,Message,AiEvalCopilotTestCaseConv,,Message,メッセージ,メッセージ,ロングテキストエリア(30000),false,true,false,false,false,false
000000000000000AAA,AiEvalCopilotTestCaseConv.Role,Role,AiEvalCopilotTestCaseConv,,Role,ロール,ロール,ロングテキストエリア(1000),false,true,false,false,false,false
000000000000000AAA,AiEvalCopilotTestCaseConv.SystemModstamp,SystemModstamp,AiEvalCopilotTestCaseConv,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,AiEvalCopilotTestCaseConv.Topic,Topic,AiEvalCopilotTestCaseConv,,Topic,トピック,トピック,ロングテキストエリア(1000),false,true,false,false,false,false
