Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AiPluginUtteranceDef.CreatedBy,CreatedById,AiPluginUtteranceDef,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AiPluginUtteranceDef.CreatedDate,CreatedDate,AiPluginUtteranceDef,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AiPluginUtteranceDef.DeveloperName,DeveloperName,AiPluginUtteranceDef,,DeveloperName,生成 AI プラグイン発言定義名,生成 AI プラグイン発言定義名,テキスト(80),false,false,false,true,true,true
000000000000000AAA,AiPluginUtteranceDef.Id,Id,AiPluginUtteranceDef,,Id,生成 AI プラグイン発言定義 ID,生成 AI プラグイン発言定義 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AiPluginUtteranceDef.IsDeleted,IsDeleted,AiPluginUtteranceDef,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AiPluginUtteranceDef.Language,Language,AiPluginUtteranceDef,,Language,マスター言語,マスター言語,選択リスト,false,true,false,true,true,true
000000000000000AAA,AiPluginUtteranceDef.LastModifiedBy,LastModifiedById,AiPluginUtteranceDef,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AiPluginUtteranceDef.LastModifiedDate,LastModifiedDate,AiPluginUtteranceDef,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AiPluginUtteranceDef.ManageableState,ManageableState,AiPluginUtteranceDef,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,AiPluginUtteranceDef.MasterLabel,MasterLabel,AiPluginUtteranceDef,,MasterLabel,生成 AI プラグイン発言定義のマスター表示ラベル,生成 AI プラグイン発言定義のマスター表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,AiPluginUtteranceDef.NamespacePrefix,NamespacePrefix,AiPluginUtteranceDef,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,AiPluginUtteranceDef.SobjectType,GenAiPluginDefinitionId,AiPluginUtteranceDef,,SobjectType,生成 AI プラグイン定義,生成 AI プラグイン定義,参照関係(生成 AI プラグイン定義),false,false,true,true,true,true
000000000000000AAA,AiPluginUtteranceDef.SystemModstamp,SystemModstamp,AiPluginUtteranceDef,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,AiPluginUtteranceDef.Utterance,Utterance,AiPluginUtteranceDef,,Utterance,発言例,発言例,ロングテキストエリア(2000),false,false,false,false,false,false
